INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
University of West Alabama,Livingston,35470,,0.232142857,0.142180095
Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
Miles College,Fairfield,35064-2621,,0.158227848,0.062240664
University of Mobile,Mobile,36613-2842,,0.213333333,0.222857143
University of Montevallo,Montevallo,35115-6000,,0.400544959,0.360294118
Northwest-Shoals Community College,Muscle Shoals,35661,,0.104633782,0.051671733
University of North Alabama,Florence,35632-0001,,0.327702703,0.270207852
Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
Oakwood University,Huntsville,35896,,0.342741936,0.26875
Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
Bishop State Community College,Mobile,36603-5898,,PrivacySuppressed,PrivacySuppressed
Samford University,Birmingham,35229-2240,,0.641744548,0.578378378
Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
University of South Alabama,Mobile,36688-0002,,0.279909707,0.247706422
Southern Community College,Tuskegee,36083-0688,,PrivacySuppressed,PrivacySuppressed
Spring Hill College,Mobile,36608-1791,,0.509803922,0.315217391
Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
Stillman College,Tuscaloosa,35401,,0.250896057,0.106382979
Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
Troy State University-Dothan Campus,Dothan,36304,,0.187234043,0.133333333
Troy State University-Montgomery,Montgomery,36103-4419,,0.198630137,0.162162162
Troy University,Troy,36082-0001,,0.097694175,0.081753555
Tuskegee University,Tuskegee,36088-1920,,0.397183099,0.23715415
United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
University of Alaska Anchorage,Anchorage,99508,,0.116033755,0.087751371
University of Alaska Fairbanks,Fairbanks,99775-7500,,0.157549234,0.206451613
University of Alaska Southeast,Juneau,99801-8697,,0.194968554,0.2125
Alaska Pacific University,Anchorage,99508,,PrivacySuppressed,PrivacySuppressed
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
Charter College,Vancouver,98683-7575,,0.285714286,0.31496063
Prince William Sound Community College,Valdez,99686-0097,,0.116033755,0.087751371
Sheldon Jackson College,Sitka,99835-7699,,PrivacySuppressed,PrivacySuppressed
Alaska Career College,Anchorage,99507-1033,,0.629139073,0.604166667
Everest College-Phoenix,Phoenix,85021-1641,,0.294117647,0.283018868
Collins College,Phoenix,85040,,0.426900585,0.500866551
Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
American Institute of Trucking,Phoenix,85043-4729,,0.858490566,0.777142857
Carrington College-Phoenix North,Phoenix,85051-4063,,0.650395778,0.565217391
Carrington College-Mesa,Mesa,85210,,0.650395778,0.565217391
Carrington College-Tucson,Tucson,85745,,0.650395778,0.565217391
CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
Arizona Automotive Institute,Glendale,85301-3579,,0.44,0.565088757
Brookline College-Phoenix,Phoenix,85021,,0.466055046,0.415357766
Arizona State University-Tempe,Tempe,85287,,0.385864374,0.329074478
Arizona Western College,Yuma,85365-8834,,PrivacySuppressed,PrivacySuppressed
University of Arizona,Tucson,85721-0066,,0.287532924,0.243706481
Southwest University of Visual Arts-Tucson,Tucson,85716,,0.2109375,0.214285714
Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
Central Arizona College,Coolidge,85128-9030,,0.059952038,0.065843621
Brown Mackie College-Tucson,Tucson,85712,,0.345679012,0.490196078
Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
Cochise County Community College District,Douglas,85607-6190,,0.061261261,0.068877551
Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
DeVoe College of Beauty,Sierra Vista,85635-1832,,PrivacySuppressed,PrivacySuppressed
DeVry University-Arizona,Phoenix,85021-2995,,0.172461274,0.175991224
Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.121580547,0.062456627
Glendale Community College,Glendale,85302,,PrivacySuppressed,PrivacySuppressed
Grand Canyon University,Phoenix,85017,,0.32733813,0.248275862
Anthem College-Phoenix,Phoenix,85014,,0.479052823,0.453500523
International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
Lamson College,Tempe,85284,,PrivacySuppressed,PrivacySuppressed
Kaplan College-Phoenix,Phoenix,85029,,0.572769953,0.531531532
Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
GateWay Community College,Phoenix,85034,,0.060413355,0.03373494
Mesa Community College,Mesa,85202,,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Tucson,Tucson,85704-5829,,0.189189189,0.298200514
ITT Technical Institute-Tempe,Tempe,85282,,0.169811321,0.330275229
Mohave Community College,Kingman,86409-1238,,PrivacySuppressed,PrivacySuppressed
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.550675676,0.749832776
Mundus Institute,Phoenix,85015,,PrivacySuppressed,PrivacySuppressed
Dine College,Tsaile,86556,,PrivacySuppressed,PrivacySuppressed
Northern Arizona University,Flagstaff,86011-4092,,0.366684407,0.314529915
Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
Ottawa University-Phoenix,Phoenix,85021,,0.270476191,0.210909091
Empire Beauty School-Glendale,Glendale,85304,,PrivacySuppressed,PrivacySuppressed
Phoenix College,Phoenix,85013,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Scottsdale,Scottsdale,85257,,0.603174603,0.59375
University of Phoenix-Phoenix Campus,Tempe,85282-2371,,0.182605835,0.179785987
Pima Community College,Tucson,85709-1275,,0.106575964,0.080828323
Pima Medical Institute-Tucson,Tucson,85716,,0.669871795,0.663028649
Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.669871795,0.663028649
Prescott College,Prescott,86301,,0.47752809,0.336633663
Refrigeration School Inc,Phoenix,85034-1816,,0.873786408,0.625
Rio Salado College,Tempe,85281,,PrivacySuppressed,PrivacySuppressed
Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
Scottsdale Community College,Scottsdale,85256,,PrivacySuppressed,PrivacySuppressed
South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
Long Technical College-East Valley,Phoenix,85008-1716,,PrivacySuppressed,PrivacySuppressed
Arizona Christian University,Phoenix,85032-7097,,PrivacySuppressed,PrivacySuppressed
Tucson College,Tucson,85711,,0.548611111,0.472222222
Universal Technical Institute of Arizona Inc,Avondale,85323,,0.635135135,0.74053383
Metropolitan College,Phoenix,85008-6940,,PrivacySuppressed,PrivacySuppressed
Western International University,Tempe,85282,,0.052631579,0.081300813
Empire Beauty School-NW Phoenix,Phoenix,85051,,PrivacySuppressed,PrivacySuppressed
Yavapai College,Prescott,86301,,PrivacySuppressed,PrivacySuppressed
University of Arkansas at Little Rock,Little Rock,72204,,0.104845115,0.084592145
University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.779116466,0.704918033
ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
Arkansas Baptist College,Little Rock,72202-6068,,PrivacySuppressed,PrivacySuppressed
Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
Lyon College,Batesville,72501,,0.52238806,0.592592593
Arkansas College of Barbering and Hair Design,North Little Rock,72114,,PrivacySuppressed,PrivacySuppressed
Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
University of Arkansas,Fayetteville,72701,,0.184731386,0.133882595
University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.223618091,0.16
Arkansas State University-Beebe,Beebe,72012-1000,,PrivacySuppressed,PrivacySuppressed
Arkansas State University-Main Campus,Jonesboro,72401,,0.241398143,0.199272066
Arkansas Tech University,Russellville,72801-2222,,0.262672811,0.218809981
University of Arkansas at Monticello,Monticello,71656,,0.210674157,0.157706093
Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
Baptist Health College-Little Rock,Little Rock,72210-2820,,PrivacySuppressed,PrivacySuppressed
Bee Jays Academy,Batesville,72501,,PrivacySuppressed,PrivacySuppressed
Black River Technical College,Pocahontas,72455,,PrivacySuppressed,PrivacySuppressed
University of Central Arkansas,Conway,72035-0001,,0.351753454,0.294701987
Central Baptist College,Conway,72034,,PrivacySuppressed,PrivacySuppressed
Blytheville Academy of Cosmetology,Blytheville,72315,,PrivacySuppressed,PrivacySuppressed
Cossatot Community College of the University of Arkansas,De Queen,71832,,PrivacySuppressed,PrivacySuppressed
Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
Crowley's Ridge Technical Institute,Forrest City,72335-0925,,PrivacySuppressed,PrivacySuppressed
De Luxe Beauty School,Pine Bluff,71603-1666,,PrivacySuppressed,PrivacySuppressed
East Arkansas Community College,Forrest City,72335-2204,,PrivacySuppressed,PrivacySuppressed
Eastern College of Health Vocations-Little Rock,Little Rock,72205,,0.537234043,0.536842105
Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
National Park College,Hot Springs,71913,,PrivacySuppressed,PrivacySuppressed
University of Arkansas Community College-Batesville,Batesville,72503-3350,,PrivacySuppressed,PrivacySuppressed
Harding University Graduate School of Religion,Memphis,38117-5499,,0.382591093,0.329177057
Harding University,Searcy,72149-5615,,0.382591093,0.329177057
Henderson State University,Arkadelphia,71999-0001,,0.1875,0.140957447
Hendrix College,Conway,72032-3080,,0.45631068,0.445783133
Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
John Brown University,Siloam Springs,72761,,0.515021459,0.56424581
Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
Marsha Kay Beauty College,Mountain Home,72653-3164,,PrivacySuppressed,PrivacySuppressed
Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
Arkansas State University Mid-South,West Memphis,72301-3829,,PrivacySuppressed,PrivacySuppressed
Arkansas Northeastern College,Blytheville,72316-1109,,PrivacySuppressed,PrivacySuppressed
Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
North Arkansas College,Harrison,72601-5508,,0.173770492,0.107692308
Northwest Technical Institute,Springdale,72764,,PrivacySuppressed,PrivacySuppressed
Ouachita Baptist University,Arkadelphia,71998-0001,,0.378378378,0.337748344
College of the Ouachitas,Malvern,72104-0816,,PrivacySuppressed,PrivacySuppressed
Ozarka College,Melbourne,72556-0010,,PrivacySuppressed,PrivacySuppressed
University of the Ozarks,Clarksville,72830,,0.379310345,0.343283582
University of Arkansas Community College-Morrilton,Morrilton,72110,,PrivacySuppressed,PrivacySuppressed
Philander Smith College,Little Rock,72202-3799,,0.136363636,0.157303371
Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
Pulaski Technical College,North Little Rock,72118-3347,,0.056768559,0.050139276
University of Arkansas Community College-Hope,Hope,71801,,PrivacySuppressed,PrivacySuppressed
Rich Mountain Community College,Mena,71953,,PrivacySuppressed,PrivacySuppressed
Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
Williams Baptist College,Walnut Ridge,72476,,0.368421053,0.269230769
South Arkansas Community College,El Dorado,71731-7010,,PrivacySuppressed,PrivacySuppressed
Southern Arkansas University Main Campus,Magnolia,71753,,0.308962264,0.226537217
Southern Arkansas University Tech,Camden,71701-1906,,PrivacySuppressed,PrivacySuppressed
Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
University of Arkansas-Fort Smith,Fort Smith,72913-3649,,0.094795539,0.088339223
Academy of Art University,San Francisco,94105,,0.219026549,0.168437026
ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.180952381,0.361842105
Academy of Chinese Culture and Health Sciences,Oakland,94612,,,
Academy of Professional Careers,San Diego,92120,,0.70718232,0.617511521
The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.515625,0.511811024
Academy Pacific Travel College,Los Angeles,90028-5218,,0.689440994,0.551724138
Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
Allan Hancock College,Santa Maria,93454-6399,,0.02745098,0.037593985
American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,PrivacySuppressed,PrivacySuppressed
American Baptist Seminary of the West,Berkeley,94704-3029,,,
American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
American Beauty College,West Covina,91790,,PrivacySuppressed,PrivacySuppressed
American InterContinental University,Los Angeles,90066,,0.44518028,0.547019868
American Career College-Los Angeles,Los Angeles,90004,,0.498886414,0.542079208
American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
American River College,Sacramento,95841-4286,,PrivacySuppressed,PrivacySuppressed
Everest College-Hayward,Hayward,94541,,0.475849732,0.294117647
Antelope Valley College,Lancaster,93536-5426,,0.06641604,0.028653295
Art Center College of Design,Pasadena,91103,,0.636363636,0.636363636
Associated Technical College-Los Angeles,Los Angeles,90017-1604,,PrivacySuppressed,PrivacySuppressed
Associated Technical College-San Diego,San Diego,92101,,PrivacySuppressed,PrivacySuppressed
Associated Technical College,Vista,92084,,PrivacySuppressed,PrivacySuppressed
Azusa Pacific University,Azusa,91702-7000,,0.481302774,0.427135678
Bakersfield College,Bakersfield,93305-1299,,0.01674277,0.0171278
Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
Bethany University,Scotts Valley,95066-2898,,0.314285714,0.202898551
Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
Biola University,La Mirada,90639-0001,,0.445977012,0.320689655
Brooks College,Long Beach,90804,,0.279816514,0.292753623
Brooks Institute,Ventura,93001,,0.50625,0.448717949
Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
Bryan University,Los Angeles,90010,,PrivacySuppressed,PrivacySuppressed
Butte College,Oroville,95965-8399,,0.061356297,0.044444444
Phillips Graduate University,Chatsworth,91311,,,
California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
Cabrillo College,Aptos,95003,,PrivacySuppressed,PrivacySuppressed
California Baptist University,Riverside,92504-3297,,0.448087432,0.295857988
California College of the Arts,San Francisco,94107-2247,,0.438709677,0.451327434
University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
California Institute of Technology,Pasadena,91125,,0.5,0.428571429
California Lutheran University,Thousand Oaks,91360-2787,,0.459731544,0.392857143
California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.120793788,0.133093525
Alliant International University,Fresno,93727,,,
Alliant International University,Alhambra,91803-1360,,,
Alliant International University-San Diego,San Diego,92131,,0.626760563,0.347826087
Alliant International University,San Francisco,94133-1221,,,
California State University-Bakersfield,Bakersfield,93311-1099,,0.203917051,0.144963145
California State University-Stanislaus,Turlock,95382-0299,,0.06514658,0.060747664
California State University-San Bernardino,San Bernardino,92407-2397,,0.302064897,0.265350877
California State Polytechnic University-Pomona,Pomona,91768,,0.098393574,0.061146497
California State University-Chico,Chico,95929-0150,,0.098469727,0.088070456
California State University-Dominguez Hills,Carson,90747-0005,,0.281081081,0.275438597
California State University-Fresno,Fresno,93740,,0.149484536,0.134715026
California State University-Fullerton,Fullerton,92831-3599,,0.193912063,0.158669226
California State University-East Bay,Hayward,94542,,0.068322981,0.080234834
California State University-Long Beach,Long Beach,90840-0115,,0.220326679,0.203252033
California State University-Los Angeles,Los Angeles,90032-8506,,0.134486607,0.103482587
California State University-Northridge,Northridge,91330,,0.164388021,0.122026887
California State University-Sacramento,Sacramento,95819-2694,,0.190457568,0.138686131
University of California-Berkeley,Berkeley,94720,,0.523181818,0.479452055
University of California-Davis,Davis,95616-8678,,0.121185316,0.092707046
University of California-Irvine,Irvine,92697,,0.415625,0.358902182
University of California-Los Angeles,Los Angeles,90095-1405,,0.293678838,0.303407247
University of California-Riverside,Riverside,92521,,0.114508393,0.084561676
University of California-San Diego,La Jolla,92093,,0.097759674,0.093970243
University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
University of California-Santa Barbara,Santa Barbara,93106,,0.480254777,0.404782237
University of California-Santa Cruz,Santa Cruz,95064-1011,,0.049805448,0.047866805
Sofia University,Palo Alto,94303,,,
California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
California College San Diego,San Diego,92111-1009,,PrivacySuppressed,PrivacySuppressed
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.701754386,0.772093023
California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
California Institute of the Arts,Valencia,91355-2397,,0.746666667,0.669172932
California State University Maritime Academy,Vallejo,94590,,PrivacySuppressed,PrivacySuppressed
California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
Canada College,Redwood City,94061-1099,,PrivacySuppressed,PrivacySuppressed
College of the Canyons,Santa Clarita,91355-1899,,0.071161049,0.066666667
Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
Casa Loma College-Van Nuys,Van Nuys,91405,,PrivacySuppressed,PrivacySuppressed
CET-San Diego,San Diego,92102,,0.189915966,0.1952
CET-Sobrato,San Jose,95110,,0.189915966,0.1952
CET-El Centro,El Centro,92243,,0.189915966,0.1952
CET-Colton,Colton,92324,,0.189915966,0.1952
CET-Watsonville,Watsonville,95076,,0.189915966,0.1952
CET-Gilroy,Gilroy,95020,,0.189915966,0.1952
CET-Salinas,Salinas,93901,,0.189915966,0.1952
Cerritos College,Norwalk,90650-6298,,0.024489796,0.021965318
Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
Chabot College,Hayward,94545,,PrivacySuppressed,PrivacySuppressed
Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
Chapman University,Orange,92866,,0.340927583,0.292022792
Charles R Drew University of Medicine and Science,Los Angeles,90059,,PrivacySuppressed,PrivacySuppressed
Concordia University-Irvine,Irvine,92612-3203,,0.430463576,0.350649351
San Diego Christian College,Santee,92071,,0.46031746,0.367816092
Church Divinity School of the Pacific,Berkeley,94709-1211,,,
Citrus College,Glendora,91741-1899,,PrivacySuppressed,PrivacySuppressed
City College of San Francisco,San Francisco,94112-1898,,0.065055762,0.041860465
Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
Claremont McKenna College,Claremont,91711-6400,,0.709677419,0.677083333
Milan Institute-Visalia,Visalia,93277,,0.673652695,0.684563758
Cleveland Chiropractic College of Los Angeles,Los Angeles,90004-2196,,0.638888889,0.641509434
Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
Coastline Community College,Fountain Valley,92708-2597,,PrivacySuppressed,PrivacySuppressed
Cogswell College,San Jose,95134,,PrivacySuppressed,PrivacySuppressed
Coleman University,San Diego,92123-1506,,0.793296089,0.755522828
Coba Cosmetology Academy,Orange,92866,,PrivacySuppressed,PrivacySuppressed
National Polytechnic College of Science,Wilmington,90744-6399,,PrivacySuppressed,PrivacySuppressed
Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
Columbia College,Sonora,95370,,PrivacySuppressed,PrivacySuppressed
Columbia College-Hollywood,Tarzana,91356-1411,,PrivacySuppressed,PrivacySuppressed
El Camino College-Compton Center,Compton,90221-5393,,PrivacySuppressed,PrivacySuppressed
Western Beauty Institute,Panorama City,91402,,PrivacySuppressed,PrivacySuppressed
Contra Costa College,San Pablo,94806-3195,,PrivacySuppressed,PrivacySuppressed
Cosumnes River College,Sacramento,95823-5799,,PrivacySuppressed,PrivacySuppressed
Crafton Hills College,Yucaipa,92339-1799,,PrivacySuppressed,PrivacySuppressed
Cuesta College,San Luis Obispo,93403-8106,,PrivacySuppressed,PrivacySuppressed
Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Bell,Bell,90201,,PrivacySuppressed,PrivacySuppressed
Cypress College,Cypress,90630-5897,,PrivacySuppressed,PrivacySuppressed
De Anza College,Cupertino,95014,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Hemet,Hemet,92545,,PrivacySuppressed,PrivacySuppressed
Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,PrivacySuppressed,PrivacySuppressed
College of the Desert,Palm Desert,92260,,PrivacySuppressed,PrivacySuppressed
Design Institute of San Diego,San Diego,92121,,PrivacySuppressed,PrivacySuppressed
DeVry University-California,Pomona,91768-2642,,0.172461274,0.175991224
Diablo Valley College,Pleasant Hill,94523,,PrivacySuppressed,PrivacySuppressed
Dominican University of California,San Rafael,94901-2298,,0.451923077,0.454545455
Dominican School of Philosophy & Theology,Berkeley,94708-1816,,PrivacySuppressed,PrivacySuppressed
Don Bosco Technical Institute,Rosemead,91770-4299,,PrivacySuppressed,PrivacySuppressed
East Los Angeles College,Monterey Park,91754-6099,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Santa Clara,Santa Clara,95050,,PrivacySuppressed,PrivacySuppressed
El Camino Community College District,Torrance,90506,,PrivacySuppressed,PrivacySuppressed
Elegance International,Hollywood,90028-6106,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-City of Industry,City of Industry,91748,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Burbank,Burbank,91502,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Moreno Valley,Moreno Valley,92553,,PrivacySuppressed,PrivacySuppressed
Emperor's College of Traditional Oriental Medicine,Santa Monica,90403,,,
Empire College,Santa Rosa,95403-2126,,0.730612245,0.629834254
Evergreen Valley College,San Jose,95135-1598,,PrivacySuppressed,PrivacySuppressed
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,90015-1421,,0.535391166,0.423452769
Fashion Careers College,San Diego,921103555,,PrivacySuppressed,PrivacySuppressed
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,94108-5805,,0.535391166,0.423452769
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,92614-5610,,0.535391166,0.423452769
Feather River Community College District,Quincy,95971-9124,,PrivacySuppressed,PrivacySuppressed
Federico Beauty Institute,Sacramento,95834,,PrivacySuppressed,PrivacySuppressed
Fielding Graduate University,Santa Barbara,93105-3538,,,
Five Branches University,Santa Cruz,95062,,PrivacySuppressed,PrivacySuppressed
