,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.301775148,0.163232964
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.269174041,0.229577465
2,Amridge University,Montgomery,36117-3553,,0.291666667,0.369565217
3,University of Alabama in Huntsville,Huntsville,35899,,0.318367347,0.256926952
4,Alabama State University,Montgomery,36104-0271,,0.223864836,0.110397946
5,The University of Alabama,Tuscaloosa,35487-0166,,0.510705789,0.415199259
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.458536585,0.414634146
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.309248555,0.206153846
9,Auburn University,Auburn,36849,,0.423512748,0.328424153
10,Lawson State Community College-Bessemer Campus,Bessemer,35022,,PrivacySuppressed,PrivacySuppressed
11,Birmingham Southern College,Birmingham,35254,,0.512,0.44
12,Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
13,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
14,South University-Montgomery,Montgomery,36116,,0.269772481,0.18220339
15,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
16,James H Faulkner State Community College,Bay Minette,36507-2698,,0.089285714,0.063400576
17,Faulkner University,Montgomery,36109-3390,,0.125,0.069364162
18,Gadsden Business College,Rainbow City,35906,,PrivacySuppressed,PrivacySuppressed
19,Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
20,George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
21,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,PrivacySuppressed,PrivacySuppressed
22,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
23,Herzing University-Birmingham,Birmingham,35209,,0.344537815,0.316939891
24,Huntingdon College,Montgomery,36106-2148,,0.43877551,0.265306122
25,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
26,J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
27,Jacksonville State University,Jacksonville,36265,,0.09554731,0.0604782
28,Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
29,Jefferson State Community College,Birmingham,35215-3098,,0.096956032,0.069230769
30,John C Calhoun State Community College,Tanner,35671,,PrivacySuppressed,PrivacySuppressed
31,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
32,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
33,University of West Alabama,Livingston,35470,,0.248062016,0.205479452
34,Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
35,Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
36,Miles College,Fairfield,35064-2621,,PrivacySuppressed,PrivacySuppressed
37,University of Mobile,Mobile,36613-2842,,0.242424242,0.24822695
38,University of Montevallo,Montevallo,35115-6000,,0.487179487,0.3
39,Northwest-Shoals Community College,Muscle Shoals,35661,,0.119565217,0.057446809
40,University of North Alabama,Florence,35632-0001,,0.319218241,0.18735363
41,Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
42,Oakwood University,Huntsville,35896,,0.37109375,0.204081633
43,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
44,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
45,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
46,Bishop State Community College,Mobile,36603-5898,,PrivacySuppressed,PrivacySuppressed
47,Samford University,Birmingham,35229-2240,,0.665706052,0.616580311
48,Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
49,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
50,University of South Alabama,Mobile,36688-0002,,0.308022923,0.242822967
51,Southern Community College,Tuskegee,36083-0688,,PrivacySuppressed,PrivacySuppressed
52,Spring Hill College,Mobile,36608-1791,,0.432098765,0.4
53,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
54,Stillman College,Tuscaloosa,35401,,0.26199262,0.143939394
55,Talladega College,Talladega,35160,,0.2265625,0.136986301
56,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
57,Troy University,Troy,36082-0001,,0.110191083,0.101412067
58,Tuskegee University,Tuskegee,36088-1920,,0.395027624,0.242236025
59,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
60,Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
61,University of Alaska Anchorage,Anchorage,99508,,0.159584514,0.111304348
62,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.199233717,0.233918129
63,University of Alaska Southeast,Juneau,99801-8697,,0.118055556,0.189473684
64,Alaska Pacific University,Anchorage,99508,,PrivacySuppressed,PrivacySuppressed
65,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
66,Charter College,Vancouver,98683-7575,,0.318471338,0.380530974
67,Prince William Sound Community College,Valdez,99686-0097,,0.159584514,0.111304348
68,Sheldon Jackson College,Sitka,99835-7699,,PrivacySuppressed,PrivacySuppressed
69,Alaska Career College,Anchorage,99507-1033,,0.574162679,0.314285714
70,Everest College-Phoenix,Phoenix,85021-1641,,0.307984791,0.242718447
71,Collins College,Phoenix,85040,,0.52987013,0.566588785
72,Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
73,Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
74,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
75,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
76,American Institute of Trucking,Phoenix,85043-4729,,0.736842105,0.724373576
77,Carrington College-Phoenix North,Phoenix,85051-4063,,0.640557006,0.547794118
78,CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
79,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
80,Arizona Automotive Institute,Glendale,85301-3579,,0.421052632,0.557840617
81,Brookline College-Phoenix,Phoenix,85021,,0.541842773,0.495327103
82,Arizona State University-Tempe,Tempe,85287,,0.4468039,0.388543637
83,Arizona Western College,Yuma,85365-8834,,0.017341041,0.029598309
84,University of Arizona,Tucson,85721-0066,,0.272764561,0.244455159
85,Southwest University of Visual Arts-Tucson,Tucson,85716,,0.1875,0.143939394
86,Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
87,Central Arizona College,Coolidge,85128-9030,,0.039106145,0.069672131
88,Brown Mackie College-Tucson,Tucson,85712,,0.411428571,0.394230769
89,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
90,Cochise County Community College District,Douglas,85607-6190,,0.060897436,0.081280788
91,Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
92,Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
93,Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
94,DeVoe College of Beauty,Sierra Vista,85635-1832,,PrivacySuppressed,PrivacySuppressed
95,DeVry University-Arizona,Phoenix,85021-2995,,0.144089733,0.132548424
96,Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
97,Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
98,Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.071823204,0.05809575
99,Glendale Community College,Glendale,85302,,0.014580802,0.015974441
100,Grand Canyon University,Phoenix,85017,,0.318681319,0.265306122
101,Anthem College-Phoenix,Phoenix,85014,,0.472468043,0.458176338
102,International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
103,Lamson College,Tempe,85284,,PrivacySuppressed,PrivacySuppressed
104,Kaplan College-Phoenix,Phoenix,85029,,0.616129032,0.494623656
105,Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
106,GateWay Community College,Phoenix,85034,,0.047149123,0.040229885
107,Mesa Community College,Mesa,85202,,0.019740553,0.02605042
108,ITT Technical Institute-Tucson,Tucson,85704-5829,,0.338709677,0.4348659
109,ITT Technical Institute-Tempe,Tempe,85282,,0.41025641,0.492600423
110,Mohave Community College,Kingman,86409-1238,,PrivacySuppressed,PrivacySuppressed
111,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.625,0.720411664
112,Mundus Institute,Phoenix,85015,,PrivacySuppressed,PrivacySuppressed
113,Dine College,Tsaile,86556,,PrivacySuppressed,PrivacySuppressed
114,Northern Arizona University,Flagstaff,86011-4092,,0.435085837,0.352506163
115,Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
116,Ottawa University-Phoenix,Phoenix,85021,,0.214678899,0.12386707
117,Empire Beauty School-Glendale,Glendale,85304,,PrivacySuppressed,PrivacySuppressed
118,Phoenix College,Phoenix,85013,,0.024850043,0.021459228
119,Cortiva Institute-Scottsdale,Scottsdale,85257,,0.658986175,0.655172414
120,University of Phoenix-Phoenix Campus,Tempe,85282-2371,,0.181212833,0.189403974
121,Pima Community College,Tucson,85709-1275,,0.132714804,0.102052452
122,Pima Medical Institute-Tucson,Tucson,85716,,0.716346154,0.714285714
123,Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.716346154,0.714285714
124,Prescott College,Prescott,86301,,0.289473684,0.272727273
125,Refrigeration School Inc,Phoenix,85034-1816,,PrivacySuppressed,PrivacySuppressed
126,Rio Salado College,Tempe,85281,,0.04245283,0.056074766
127,Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
128,Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
129,Scottsdale Community College,Scottsdale,85256,,0.031428571,0.024561404
130,South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
131,Long Technical College-East Valley,Phoenix,85008-1716,,PrivacySuppressed,PrivacySuppressed
132,Arizona Christian University,Phoenix,85032-7097,,PrivacySuppressed,PrivacySuppressed
133,Tucson College,Tucson,85711,,0.6,0.476190476
134,Universal Technical Institute of Arizona Inc,Avondale,85323,,0.663265306,0.767598344
135,Western International University,Tempe,85282,,0.066176471,0.092307692
136,Empire Beauty School-NW Phoenix,Phoenix,85051,,PrivacySuppressed,PrivacySuppressed
137,Yavapai College,Prescott,86301,,0.028508772,0.04964539
138,University of Arkansas at Little Rock,Little Rock,72204,,0.135793358,0.119845361
139,University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.776061776,0.806451613
140,ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
141,Arkansas Baptist College,Little Rock,72202-6068,,PrivacySuppressed,PrivacySuppressed
142,Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
143,Lyon College,Batesville,72501,,0.584415584,0.5
144,Arkansas College of Barbering and Hair Design,North Little Rock,72114,,0.545454546,0.555555556
145,Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
146,University of Arkansas,Fayetteville,72701,,0.297608503,0.25756187
147,University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.296,0.100961539
148,Arkansas State University-Beebe,Beebe,72012-1000,,PrivacySuppressed,PrivacySuppressed
149,Arkansas State University-Main Campus,Jonesboro,72401,,0.236498258,0.201347305
150,Arkansas Tech University,Russellville,72801-2222,,0.269541779,0.239583333
151,University of Arkansas at Monticello,Monticello,71656,,0.205128205,0.138047138
152,Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
153,Baptist Health College-Little Rock,Little Rock,72210-2820,,PrivacySuppressed,PrivacySuppressed
154,Bee Jays Academy,Batesville,72501,,PrivacySuppressed,PrivacySuppressed
155,Black River Technical College,Pocahontas,72455,,PrivacySuppressed,PrivacySuppressed
156,University of Central Arkansas,Conway,72035-0001,,0.375332742,0.285289747
157,Central Baptist College,Conway,72034,,PrivacySuppressed,PrivacySuppressed
158,Blytheville Academy of Cosmetology,Blytheville,72315,,PrivacySuppressed,PrivacySuppressed
159,Cossatot Community College of the University of Arkansas,De Queen,71832,,PrivacySuppressed,PrivacySuppressed
160,Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
161,Crowley's Ridge Technical Institute,Forrest City,72335-0925,,PrivacySuppressed,PrivacySuppressed
162,De Luxe Beauty School,Pine Bluff,71603-1666,,PrivacySuppressed,PrivacySuppressed
163,East Arkansas Community College,Forrest City,72335-2204,,PrivacySuppressed,PrivacySuppressed
164,Eastern College of Health Vocations-Little Rock,Little Rock,72205,,0.546719682,0.482758621
165,Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
166,National Park College,Hot Springs,71913,,PrivacySuppressed,PrivacySuppressed
167,University of Arkansas Community College-Batesville,Batesville,72503-3350,,PrivacySuppressed,PrivacySuppressed
168,Harding University Graduate School of Religion,Memphis,38117-5499,,0.517509728,0.412322275
169,Harding University,Searcy,72149-5615,,0.517509728,0.412322275
170,Henderson State University,Arkadelphia,71999-0001,,0.277056277,0.188976378
171,Hendrix College,Conway,72032-3080,,0.557251908,0.384615385
172,Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
173,Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
174,John Brown University,Siloam Springs,72761,,0.575757576,0.614130435
175,Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
176,Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
177,Marsha Kay Beauty College,Mountain Home,72653-3164,,PrivacySuppressed,PrivacySuppressed
178,Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
179,Arkansas State University Mid-South,West Memphis,72301-3829,,PrivacySuppressed,PrivacySuppressed
180,Arkansas Northeastern College,Blytheville,72316-1109,,PrivacySuppressed,PrivacySuppressed
181,Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
182,New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
183,North Arkansas College,Harrison,72601-5508,,0.14893617,0.112068966
184,Northwest Technical Institute,Springdale,72764,,PrivacySuppressed,PrivacySuppressed
185,Ouachita Baptist University,Arkadelphia,71998-0001,,0.492857143,0.411042945
186,College of the Ouachitas,Malvern,72104-0816,,PrivacySuppressed,PrivacySuppressed
187,Ozarka College,Melbourne,72556-0010,,0.188461539,0.134020619
188,University of the Ozarks,Clarksville,72830,,0.353535354,0.37704918
189,University of Arkansas Community College-Morrilton,Morrilton,72110,,0.093908629,0.088757396
190,Philander Smith College,Little Rock,72202-3799,,PrivacySuppressed,PrivacySuppressed
191,Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
192,Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
193,Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
194,Pulaski Technical College,North Little Rock,72118-3347,,0.070043103,0.070217918
195,University of Arkansas Community College-Hope,Hope,71801,,PrivacySuppressed,PrivacySuppressed
196,Rich Mountain Community College,Mena,71953,,PrivacySuppressed,PrivacySuppressed
197,Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
198,Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
199,Williams Baptist College,Walnut Ridge,72476,,0.347826087,0.360824742
200,South Arkansas Community College,El Dorado,71731-7010,,PrivacySuppressed,PrivacySuppressed
201,Southern Arkansas University Main Campus,Magnolia,71753,,0.277511962,0.195945946
202,Southern Arkansas University Tech,Camden,71701-1906,,PrivacySuppressed,PrivacySuppressed
203,Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
204,University of Arkansas-Fort Smith,Fort Smith,72913-3649,,0.125475285,0.078947368
205,Abram Friedman Occupational Center,Los Angeles,90015-3507,,,
206,Academy of Art University,San Francisco,94105,,0.201652893,0.185672515
207,ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.283333333,0.403076923
208,Academy of Chinese Culture and Health Sciences,Oakland,94612,,PrivacySuppressed,PrivacySuppressed
209,Academy of Professional Careers,San Diego,92120,,0.652360515,0.618320611
210,The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.571428571,0.595890411
211,Academy Pacific Travel College,Los Angeles,90028-5218,,0.666666667,0.564102564
212,Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
213,College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
214,Allan Hancock College,Santa Maria,93454-6399,,PrivacySuppressed,PrivacySuppressed
215,American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,0.785714286,0.705882353
216,American Baptist Seminary of the West,Berkeley,94704-3029,,PrivacySuppressed,PrivacySuppressed
217,American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
218,American InterContinental University,Los Angeles,90066,,0.464375788,0.47189584
219,American Career College-Los Angeles,Los Angeles,90004,,0.630493274,0.569811321
220,American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
221,American River College,Sacramento,95841-4286,,PrivacySuppressed,PrivacySuppressed
222,Everest College-Hayward,Hayward,94541,,0.67706422,0.555555556
223,Antelope Valley College,Lancaster,93536-5426,,0.072805139,0.0554371
224,Art Center College of Design,Pasadena,91103,,0.664233577,0.604347826
225,Associated Technical College-Los Angeles,Los Angeles,90017-1604,,PrivacySuppressed,PrivacySuppressed
226,Associated Technical College-San Diego,San Diego,92101,,PrivacySuppressed,PrivacySuppressed
227,Azusa Pacific University,Azusa,91702-7000,,0.500579374,0.403508772
228,Bakersfield College,Bakersfield,93305-1299,,PrivacySuppressed,PrivacySuppressed
229,Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
230,Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
231,Bethany University,Scotts Valley,95066-2898,,0.25,0.139240506
232,Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
233,Biola University,La Mirada,90639-0001,,0.453465347,0.351351351
234,Brooks College,Long Beach,90804,,0.404228856,0.374350087
235,Brooks Institute,Ventura,93001,,0.454901961,0.39661017
236,Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
237,Bryan University,Los Angeles,90010,,PrivacySuppressed,PrivacySuppressed
238,Butte College,Oroville,95965-8399,,0.047717842,0.043742406
239,Phillips Graduate University,Chatsworth,91311,,,
240,California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
241,Cabrillo College,Aptos,95003,,PrivacySuppressed,PrivacySuppressed
242,California Baptist University,Riverside,92504-3297,,0.492647059,0.324324324
243,California College of the Arts,San Francisco,94107-2247,,0.503184713,0.422680412
244,University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
245,California Institute of Technology,Pasadena,91125,,PrivacySuppressed,PrivacySuppressed
246,California Lutheran University,Thousand Oaks,91360-2787,,0.597701149,0.418719212
247,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.182709447,0.159914712
248,Alliant International University,Fresno,93727,,0.660583942,0.474226804
249,Alliant International University,Alhambra,91803-1360,,0.660583942,0.474226804
250,Alliant International University-San Diego,San Diego,92131,,0.660583942,0.474226804
251,Alliant International University,San Francisco,94133-1221,,0.660583942,0.474226804
252,California State University-Bakersfield,Bakersfield,93311-1099,,0.205696203,0.167728238
253,California State University-Stanislaus,Turlock,95382-0299,,0.060737527,0.071428571
254,California State University-San Bernardino,San Bernardino,92407-2397,,0.344183565,0.302303263
255,California State Polytechnic University-Pomona,Pomona,91768,,0.080485953,0.051758461
256,California State University-Chico,Chico,95929-0150,,0.227696405,0.200164069
257,California State University-Dominguez Hills,Carson,90747-0005,,0.290949888,0.277408638
258,California State University-Fresno,Fresno,93740,,0.214212679,0.197492163
259,California State University-Fullerton,Fullerton,92831-3599,,0.273280122,0.241771394
260,California State University-East Bay,Hayward,94542,,0.094385679,0.083832335
261,California State University-Long Beach,Long Beach,90840-0115,,0.261443932,0.22579001
262,California State University-Los Angeles,Los Angeles,90032-8506,,0.106729758,0.086397059
263,California State University-Northridge,Northridge,91330,,0.232283465,0.181381958
264,California State University-Sacramento,Sacramento,95819-2694,,0.134507306,0.121613486
265,University of California-Berkeley,Berkeley,94720,,0.455357143,0.424507659
266,University of California-Davis,Davis,95616-8678,,0.12777106,0.102491506
267,University of California-Irvine,Irvine,92697,,0.404035179,0.35519802
268,University of California-Los Angeles,Los Angeles,90095-1405,,0.606551724,0.536203523
269,University of California-Riverside,Riverside,92521,,0.155443322,0.099927061
270,University of California-San Diego,La Jolla,92093,,0.169293637,0.185336049
271,University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
272,University of California-Santa Barbara,Santa Barbara,93106,,0.491812866,0.431087289
273,University of California-Santa Cruz,Santa Cruz,95064-1011,,0.059183674,0.049304678
274,Sofia University,Palo Alto,94303,,,
275,California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
276,California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
277,California College San Diego,San Diego,92111-1009,,PrivacySuppressed,PrivacySuppressed
278,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.747311828,0.712746858
279,California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
280,California Institute of the Arts,Valencia,91355-2397,,0.676470588,0.725806452
281,California State University Maritime Academy,Vallejo,94590,,PrivacySuppressed,PrivacySuppressed
282,California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
283,Canada College,Redwood City,94061-1099,,PrivacySuppressed,PrivacySuppressed
284,College of the Canyons,Santa Clarita,91355-1899,,0.090361446,0.044444444
285,Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
286,Casa Loma College-Van Nuys,Van Nuys,91405,,PrivacySuppressed,PrivacySuppressed
287,CET-San Diego,San Diego,92102,,0.327142857,0.257062147
288,CET-Sobrato,San Jose,95110,,0.327142857,0.257062147
289,CET-El Centro,El Centro,92243,,0.327142857,0.257062147
290,CET-Colton,Colton,92324,,0.327142857,0.257062147
291,CET-Watsonville,Watsonville,95076,,0.327142857,0.257062147
292,CET-Gilroy,Gilroy,95020,,0.327142857,0.257062147
293,CET-Salinas,Salinas,93901,,0.327142857,0.257062147
294,Cerritos College,Norwalk,90650-6298,,0.022925764,0.016966068
295,Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
296,Chabot College,Hayward,94545,,PrivacySuppressed,PrivacySuppressed
297,Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
298,Chapman University,Orange,92866,,0.400457666,0.407651715
299,Charles R Drew University of Medicine and Science,Los Angeles,90059,,0.8,0.694915254
300,Concordia University-Irvine,Irvine,92612-3203,,0.347014925,0.255813954
301,San Diego Christian College,Santee,92071,,0.387931035,0.328767123
302,Church Divinity School of the Pacific,Berkeley,94709-1211,,,
303,Citrus College,Glendora,91741-1899,,0.037184595,0.023696683
304,City College of San Francisco,San Francisco,94112-1898,,0.030408341,0.022636485
305,Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
306,Claremont McKenna College,Claremont,91711-6400,,0.71875,0.8
307,Milan Institute-Visalia,Visalia,93277,,0.678311499,0.654135338
308,Cleveland Chiropractic College of Los Angeles,Los Angeles,90004-2196,,0.5,0.557692308
309,Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
310,Coastline Community College,Fountain Valley,92708-2597,,PrivacySuppressed,PrivacySuppressed
311,Cogswell College,San Jose,95134,,PrivacySuppressed,PrivacySuppressed
312,Coleman University,San Diego,92123-1506,,0.706422018,0.734553776
313,Coba Cosmetology Academy,Orange,92866,,PrivacySuppressed,PrivacySuppressed
314,National Polytechnic College of Science,Wilmington,90744-6399,,0.52,0.574534162
315,Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
316,Columbia College,Sonora,95370,,PrivacySuppressed,PrivacySuppressed
317,Columbia College-Hollywood,Tarzana,91356-1411,,PrivacySuppressed,PrivacySuppressed
318,El Camino College-Compton Center,Compton,90221-5393,,PrivacySuppressed,PrivacySuppressed
319,Western Beauty Institute,Panorama City,91402,,PrivacySuppressed,PrivacySuppressed
320,Contra Costa College,San Pablo,94806-3195,,PrivacySuppressed,PrivacySuppressed
321,Cosumnes River College,Sacramento,95823-5799,,PrivacySuppressed,PrivacySuppressed
322,Crafton Hills College,Yucaipa,92339-1799,,PrivacySuppressed,PrivacySuppressed
323,Cuesta College,San Luis Obispo,93403-8106,,PrivacySuppressed,PrivacySuppressed
324,Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
325,Marinello Schools of Beauty-Bell,Bell,90201,,PrivacySuppressed,PrivacySuppressed
326,Cypress College,Cypress,90630-5897,,PrivacySuppressed,PrivacySuppressed
327,De Anza College,Cupertino,95014,,PrivacySuppressed,PrivacySuppressed
328,Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,PrivacySuppressed,PrivacySuppressed
329,College of the Desert,Palm Desert,92260,,PrivacySuppressed,PrivacySuppressed
330,Design Institute of San Diego,San Diego,92121,,PrivacySuppressed,PrivacySuppressed
331,DeVry University-California,Pomona,91768-2642,,0.144089733,0.132548424
332,Diablo Valley College,Pleasant Hill,94523,,PrivacySuppressed,PrivacySuppressed
333,Dominican University of California,San Rafael,94901-2298,,0.506024096,0.45
334,Dominican School of Philosophy & Theology,Berkeley,94708-1816,,PrivacySuppressed,PrivacySuppressed
335,Don Bosco Technical Institute,Rosemead,91770-4299,,PrivacySuppressed,PrivacySuppressed
336,East Los Angeles College,Monterey Park,91754-6099,,PrivacySuppressed,PrivacySuppressed
337,Marinello Schools of Beauty-Santa Clara,Santa Clara,95050,,PrivacySuppressed,PrivacySuppressed
338,San Diego Continuing Education,San Diego,92113,,PrivacySuppressed,PrivacySuppressed
339,El Camino Community College District,Torrance,90506,,PrivacySuppressed,PrivacySuppressed
340,Elegance International,Hollywood,90028-6106,,PrivacySuppressed,PrivacySuppressed
341,Marinello Schools of Beauty-City of Industry,City of Industry,91748,,PrivacySuppressed,PrivacySuppressed
342,Marinello Schools of Beauty-Burbank,Burbank,91502,,PrivacySuppressed,PrivacySuppressed
343,Marinello Schools of Beauty-Moreno Valley,Moreno Valley,92553,,PrivacySuppressed,PrivacySuppressed
344,Emperor's College of Traditional Oriental Medicine,Santa Monica,90403,,PrivacySuppressed,PrivacySuppressed
345,Empire College,Santa Rosa,95403-2126,,0.685840708,0.607142857
346,Evergreen Valley College,San Jose,95135-1598,,PrivacySuppressed,PrivacySuppressed
