INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,,0.289269051,0.167207792
University of Alabama at Birmingham,Birmingham,35294-0110,,0.410327983,0.347328244
Amridge University,Montgomery,36117-3553,,0.318681319,0.455696203
University of Alabama in Huntsville,Huntsville,35899,,0.355679702,0.344294004
Alabama State University,Montgomery,36104-0271,,0.132505176,0.046604527
The University of Alabama,Tuscaloosa,35487-0166,,0.533952409,0.444963309
Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
Athens State University,Athens,35611,,0.553017945,0.515981735
Auburn University at Montgomery,Montgomery,36117-3596,,0.307909605,0.269461078
Auburn University,Auburn,36849,,0.128959276,0.075268817
Birmingham Southern College,Birmingham,35254,,PrivacySuppressed,PrivacySuppressed
Chattahoochee Valley Community College,Phenix City,36869,,0.106598985,0.091428571
Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
South University-Montgomery,Montgomery,36116,,0.202235508,0.184553661
Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
James H Faulkner State Community College,Bay Minette,36507-2698,,0.111581921,0.079754601
Faulkner University,Montgomery,36109-3390,,0.196839081,0.075144509
Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.275754423,0.157534247
George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
Herzing University-Birmingham,Birmingham,35209,,0.340697674,0.338870432
Huntingdon College,Montgomery,36106-2148,,0.510948905,0.345864662
Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
Jacksonville State University,Jacksonville,36265,,0.291214215,0.179340029
Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
Jefferson State Community College,Birmingham,35215-3098,,0.139240506,0.083333333
John C Calhoun State Community College,Tanner,35671,,0.085930918,0.046376812
Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
University of West Alabama,Livingston,35470,,0.25,0.183206107
Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
Marion Military Institute,Marion,36756-3207,,0.434782609,0.326732673
Miles College,Fairfield,35064-2621,,0.146268657,0.050746269
University of Mobile,Mobile,36613-2842,,0.422413793,0.371428571
University of Montevallo,Montevallo,35115-6000,,0.438356164,0.383116883
Northwest-Shoals Community College,Muscle Shoals,35661,,PrivacySuppressed,PrivacySuppressed
University of North Alabama,Florence,35632-0001,,0.399075501,0.284140969
Northeast Alabama Community College,Rainsville,35986,,0.111776447,0.040892193
Oakwood University,Huntsville,35896,,0.286821705,0.151685393
Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
Bishop State Community College,Mobile,36603-5898,,PrivacySuppressed,PrivacySuppressed
Samford University,Birmingham,35229-2240,,0.641025641,0.547770701
Selma University,Selma,36701,,PrivacySuppressed,PrivacySuppressed
Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
University of South Alabama,Mobile,36688-0002,,0.322622108,0.250605327
Spring Hill College,Mobile,36608-1791,,0.516129032,0.422680412
Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
Stillman College,Tuscaloosa,35401,,0.272727273,0.138157895
Talladega College,Talladega,35160,,0.336363636,0.326923077
H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
Troy University,Troy,36082-0001,,0.179789213,0.154188288
Tuskegee University,Tuskegee,36088-1920,,0.242346939,0.073717949
United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
Bevill State Community College,Jasper,35501,,0.04025974,0.032051282
University of Alaska Anchorage,Anchorage,99508,,0.222470238,0.166855846
University of Alaska Fairbanks,Fairbanks,99775-7500,,0.177820268,0.186170213
University of Alaska Southeast,Juneau,99801-8697,,0.143712575,0.194174757
Alaska Pacific University,Anchorage,99508,,0.443037975,0.306122449
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,0.64516129,0.561643836
Charter College,Vancouver,98683-7575,,0.403225807,0.2375
Prince William Sound Community College,Valdez,99686-0097,,0.222470238,0.166855846
Alaska Career College,Anchorage,99507-1033,,0.769491525,0.740740741
Everest College-Phoenix,Phoenix,85021-1641,,0.335329341,0.245762712
Collins College,Phoenix,85040,,0.237649063,0.141618497
Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
American Institute of Trucking,Phoenix,85043-4729,,0.640449438,0.628205128
Carrington College-Phoenix North,Phoenix,85051-4063,,0.711914423,0.630136986
Carrington College-Mesa,Mesa,85210,,0.711914423,0.630136986
Carrington College-Tucson,Tucson,85745,,0.711914423,0.630136986
CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
Arizona Automotive Institute,Glendale,85301-3579,,0.612903226,0.530655391
Brookline College-Phoenix,Phoenix,85021,,0.572259942,0.424460432
Arizona State University-Tempe,Tempe,85287,,0.485835421,0.457713755
Arizona Western College,Yuma,85365-8834,,PrivacySuppressed,PrivacySuppressed
University of Arizona,Tucson,85721-0066,,0.427503116,0.373621103
Southwest University of Visual Arts-Tucson,Tucson,85716,,0.162601626,0.12987013
Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
Central Arizona College,Coolidge,85128-9030,,0.075046904,0.074561404
Brown Mackie College-Tucson,Tucson,85712,,0.2734375,0.184615385
Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
Cochise County Community College District,Douglas,85607-6190,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
DeVry University-Arizona,Phoenix,85021-2995,,0.11204639,0.085050251
Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.413157895,0.398798799
Frank Lloyd Wright School of Architecture,Scottsdale,85259,,PrivacySuppressed,PrivacySuppressed
Glendale Community College,Glendale,85302,,PrivacySuppressed,PrivacySuppressed
Grand Canyon University,Phoenix,85017,,0.168482816,0.1386604
Anthem College-Phoenix,Phoenix,85014,,0.440800681,0.411557435
International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
Lamson College,Tempe,85284,,0.593264249,0.393939394
Kaplan College-Phoenix,Phoenix,85029,,0.493775934,0.693877551
Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
GateWay Community College,Phoenix,85034,,0.054216868,0.039119804
Mesa Community College,Mesa,85202,,0.012345679,0.010056568
ITT Technical Institute-Tucson,Tucson,85704-5829,,0.234789392,0.354140658
ITT Technical Institute-Tempe,Tempe,85282,,0.234789392,0.354140658
Mohave Community College,Kingman,86409-1238,,0.099118943,0.072769953
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.691891892,0.722294939
Dine College,Tsaile,86556,,PrivacySuppressed,PrivacySuppressed
Northern Arizona University,Flagstaff,86011-4092,,0.448747153,0.364425163
