,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.253256151,0.158878505
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.493215339,0.41187926
2,Amridge University,Montgomery,36117-3553,,0.12244898,0.27027027
3,University of Alabama in Huntsville,Huntsville,35899,,0.448275862,0.380255942
4,Alabama State University,Montgomery,36104-0271,,0.246851385,0.130990415
5,The University of Alabama,Tuscaloosa,35487-0166,,0.559644157,0.45932289
6,Central Alabama Community College,Alexander City,35010,,0.042424242,0.028061225
7,Athens State University,Athens,35611,,0.534711965,0.52173913
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.214285714,0.183505155
9,Auburn University,Auburn,36849,,0.646746348,0.559297218
10,Birmingham Southern College,Birmingham,35254,,0.642276423,0.553719008
11,Chattahoochee Valley Community College,Phenix City,36869,,0.130232558,0.101214575
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.100659593,0.112386595
14,Enterprise State Community College,Enterprise,36330-1300,,0.030237581,0.021381579
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.10989011,0.0984375
16,Faulkner University,Montgomery,36109-3390,,0.35013624,0.249357327
17,Gadsden State Community College,Gadsden,35903,,0.148399015,0.12565445
18,New Beginning College of Cosmetology,Albertville,35951,,PrivacySuppressed,PrivacySuppressed
19,George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.189212329,0.132727273
20,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.291453616,0.15598549
21,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
22,Herzing University-Birmingham,Birmingham,35209,,0.355050695,0.342744583
23,Huntingdon College,Montgomery,36106-2148,,0.46039604,0.353658537
24,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
25,J F Drake State Community and Technical College,Huntsville,35811,,0.091324201,0.068493151
26,Jacksonville State University,Jacksonville,36265,,0.399145299,0.257246377
27,Jefferson Davis Community College,Brewton,36426,,0.109677419,0.204678363
28,Jefferson State Community College,Birmingham,35215-3098,,0.139979339,0.094097519
29,John C Calhoun State Community College,Tanner,35671,,0.137447405,0.106545961
30,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
31,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,0.105454546,0.124859393
32,University of West Alabama,Livingston,35470,,0.382246377,0.213333333
33,Lurleen B Wallace Community College,Andalusia,36420-1418,,0.159003831,0.094827586
34,Marion Military Institute,Marion,36756-3207,,0.632653061,0.48427673
35,Miles College,Fairfield,35064-2621,,0.170909091,0.094017094
36,University of Mobile,Mobile,36613-2842,,0.315642458,0.257575758
37,University of Montevallo,Montevallo,35115-6000,,0.359102244,0.324873096
38,Northwest-Shoals Community College,Muscle Shoals,35661,,0.094076655,0.081818182
39,University of North Alabama,Florence,35632-0001,,0.414746544,0.313213703
40,Northeast Alabama Community College,Rainsville,35986,,0.238227147,0.212446352
41,Oakwood University,Huntsville,35896,,0.237179487,0.168032787
42,Alabama Southern Community College,Monroeville,36460,,0.044444444,0.043290043
43,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
44,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
45,Bishop State Community College,Mobile,36603-5898,,0.089015152,0.109612142
46,Samford University,Birmingham,35229-2240,,0.633217993,0.597633136
47,Selma University,Selma,36701,,PrivacySuppressed,PrivacySuppressed
48,Shelton State Community College,Tuscaloosa,35405-8522,,0.081475129,0.06405694
49,Snead State Community College,Boaz,35957-0734,,0.148698885,0.130136986
50,University of South Alabama,Mobile,36688-0002,,0.326589595,0.282352941
51,Spring Hill College,Mobile,36608-1791,,0.362264151,0.365079365
52,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
53,Stillman College,Tuscaloosa,35401,,0.188888889,0.173652695
54,Talladega College,Talladega,35160,,0.168478261,0.178082192
55,H Councill Trenholm State Community College,Montgomery,36108-3199,,0.091489362,0.074074074
56,Troy University,Troy,36082-0001,,0.224193151,0.210769231
57,Tuskegee University,Tuskegee,36088-1920,,0.443914081,0.304093567
58,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
59,Bevill State Community College,Jasper,35501,,0.152036199,0.143089431
60,University of Alaska Anchorage,Anchorage,99508,,0.18330692,0.146248086
61,Alaska Bible College,Palmer,99645,,PrivacySuppressed,PrivacySuppressed
62,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.217391304,0.176470588
63,University of Alaska Southeast,Juneau,99801-8697,,0.274247492,0.202247191
64,Alaska Pacific University,Anchorage,99508,,0.346938776,0.489795918
65,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,0.65,0.5875
66,Charter College,Vancouver,98683-7575,,0.56263048,0.436329588
67,Alaska Career College,Anchorage,99507-1033,,0.731958763,0.676056338
68,Everest College-Phoenix,Phoenix,85021-1641,,0.305768249,0.157635468
69,Collins College,Phoenix,85040,,0.277120316,0.234011628
70,Empire Beauty School-Paradise Valley,Phoenix,85032,,0.518896834,0.62295082
71,Empire Beauty School-Tucson,Tucson,85716,,0.445190157,0.344827586
72,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
73,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
74,American Institute of Trucking,Phoenix,85043-4729,,0.707482993,0.753846154
75,Carrington College-Phoenix North,Phoenix,85051-4063,,0.679183674,0.634666667
76,Carrington College-Mesa,Mesa,85210,,0.679183674,0.634666667
77,Carrington College-Tucson,Tucson,85745,,0.679183674,0.634666667
78,CollegeAmerica-Flagstaff,Flagstaff,86001,,0.479495268,0.385416667
79,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
80,Arizona Automotive Institute,Glendale,85301-3579,,0.503184713,0.586866168
81,Brookline College-Phoenix,Phoenix,85021,,0.542499153,0.473880597
82,Arizona State University-Tempe,Tempe,85287,,0.565602361,0.516284119
83,Arizona Western College,Yuma,85365-8834,,0.096713022,0.081727063
84,University of Arizona,Tucson,85721-0066,,0.517079286,0.457609081
85,Southwest University of Visual Arts-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
86,Central Arizona College,Coolidge,85128-9030,,0.129251701,0.084835631
87,Brown Mackie College-Tucson,Tucson,85712,,0.435418594,0.323302586
88,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
89,Cochise County Community College District,Douglas,85607-6190,,0.104874446,0.097916667
90,Empire Beauty School-Flagstaff,Flagstaff,86004,,0.448473282,0.533333333
91,Empire Beauty School-Chandler,Chandler,85224,,0.448473282,0.533333333
92,Cortiva Institute-Tucson,Tucson,85710,,0.777777778,0.722891566
93,Avalon School of Cosmetology-Mesa,Mesa,85210,,0.365079365,0.4
94,Eastern Arizona College,Thatcher,85552-0769,,0.153502236,0.106060606
95,Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.325327511,0.339498019
96,Frank Lloyd Wright School of Architecture,Scottsdale,85259,,PrivacySuppressed,PrivacySuppressed
97,Glendale Community College,Glendale,85302,,0.010257832,0.00973913
98,Grand Canyon University,Phoenix,85017,,0.23990293,0.224345781
99,International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
100,GateWay Community College,Phoenix,85034,,0.097526502,0.092611863
101,Mesa Community College,Mesa,85202,,0.011471809,0.009046053
102,ITT Technical Institute-Tucson,Tucson,85704-5829,,0.403152496,0.452518746
103,ITT Technical Institute-Tempe,Tempe,85282,,0.403152496,0.452518746
104,Mohave Community College,Kingman,86409-1238,,0.174099485,0.121727749
105,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.621409922,0.634523371
106,Dine College,Tsaile,86556,,0.083018868,0.05655527
107,Northern Arizona University,Flagstaff,86011-4092,,0.505563481,0.439643653
108,Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
109,Ottawa University-Phoenix,Phoenix,85021,,0.338235294,0.243455497
110,Phoenix College,Phoenix,85013,,0.030946384,0.018027572
111,Cortiva Institute-Scottsdale,Scottsdale,85257,,0.717647059,0.666666667
112,Pima Community College,Tucson,85709-1275,,0.117417678,0.089191232
113,Pima Medical Institute-Tucson,Tucson,85716,,0.731892241,0.683108108
114,Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.731892241,0.683108108
115,Prescott College,Prescott,86301,,0.265306122,0.177966102
116,Refrigeration School Inc,Phoenix,85034-1816,,0.627906977,0.729824561
117,Rio Salado College,Tempe,85281,,0.022899419,0.01788846
118,Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
119,Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
120,Scottsdale Community College,Scottsdale,85256,,PrivacySuppressed,PrivacySuppressed
121,South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
122,Arizona Christian University,Phoenix,85032-7097,,0.278688525,0.313131313
123,Tucson College,Tucson,85711,,0.611295681,0.645502646
124,Universal Technical Institute of Arizona Inc,Avondale,85323,,0.571992111,0.610554245
125,Western International University,Tempe,85282,,0.146711636,0.114754098
126,Empire Beauty School-NW Phoenix,Phoenix,85051,,0.422178988,0.538461539
127,Yavapai College,Prescott,86301,,0.246561886,0.196202532
128,University of Arkansas at Little Rock,Little Rock,72204,,0.295382669,0.26579261
129,University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.737931035,0.670212766
130,ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
131,Arkansas Baptist College,Little Rock,72202-6068,,0.081560284,0.026607539
132,Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
133,Arkansas Beauty College,Russellville,72801,,PrivacySuppressed,PrivacySuppressed
134,Lyon College,Batesville,72501,,0.378787879,0.307692308
135,Arkansas College of Barbering and Hair Design,North Little Rock,72114,,PrivacySuppressed,PrivacySuppressed
136,Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
137,University of Arkansas,Fayetteville,72701,,0.535092645,0.452440551
138,University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.210896309,0.12605042
139,Arkansas State University-Beebe,Beebe,72012-1000,,0.302292264,0.31627907
140,Arkansas State University-Main Campus,Jonesboro,72401,,0.409444985,0.316475096
141,Arkansas Tech University,Russellville,72801-2222,,0.375722543,0.311013216
142,University of Arkansas at Monticello,Monticello,71656,,0.236270754,0.148972603
143,Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
144,Baptist Health College-Little Rock,Little Rock,72210-2820,,0.644021739,0.546875
145,Black River Technical College,Pocahontas,72455,,0.167495854,0.097883598
146,University of Central Arkansas,Conway,72035-0001,,0.355588897,0.270952928
147,Central Baptist College,Conway,72034,,0.268965517,0.216
148,Cossatot Community College of the University of Arkansas,De Queen,71832,,0.203773585,0.090909091
149,Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
150,Crowley's Ridge Technical Institute,Forrest City,72335-0925,,0.246575343,0.127659575
151,East Arkansas Community College,Forrest City,72335-2204,,0.129568106,0.07518797
152,Eastern College of Health Vocations-Little Rock,Little Rock,72205,,PrivacySuppressed,PrivacySuppressed
153,Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
154,National Park College,Hot Springs,71913,,0.234924623,0.182178218
155,University of Arkansas Community College-Batesville,Batesville,72503-3350,,0.386010363,0.248847926
156,Harding University,Searcy,72149-5615,,0.52476573,0.424836601
157,Henderson State University,Arkadelphia,71999-0001,,0.29153605,0.223382046
158,Hendrix College,Conway,72032-3080,,0.443708609,0.539325843
159,Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
160,Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
161,John Brown University,Siloam Springs,72761,,0.498168498,0.450980392
162,Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
163,Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
164,Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
165,Arkansas State University Mid-South,West Memphis,72301-3829,,0.091537133,0.071022727
166,Arkansas Northeastern College,Blytheville,72316-1109,,0.19375,0.2
167,Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
168,New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
169,North Arkansas College,Harrison,72601-5508,,0.304621849,0.355
170,Northwest Technical Institute,Springdale,72764,,0.173333333,0.113402062
171,Ouachita Baptist University,Arkadelphia,71998-0001,,0.679144385,0.509202454
172,College of the Ouachitas,Malvern,72104-0816,,0.355932203,0.226415094
173,Ozarka College,Melbourne,72556-0010,,0.158730159,0.096385542
174,University of the Ozarks,Clarksville,72830,,0.25,0.361445783
175,University of Arkansas Community College-Morrilton,Morrilton,72110,,0.267281106,0.266666667
176,Philander Smith College,Little Rock,72202-3799,,0.352601156,0.295774648
177,Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
178,Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
179,Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
180,Pulaski Technical College,North Little Rock,72118-3347,,0.163123644,0.158640227
181,University of Arkansas Community College-Hope,Hope,71801,,0.185185185,0.138613861
182,Rich Mountain Community College,Mena,71953,,0.125,0.104761905
183,Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
184,Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
185,Shorter College,N Little Rock,72114,,,
186,Williams Baptist College,Walnut Ridge,72476,,0.256,0.243243243
187,South Arkansas Community College,El Dorado,71731-7010,,0.199541284,0.09352518
188,Southern Arkansas University Main Campus,Magnolia,71753,,0.375984252,0.265895954
189,Southern Arkansas University Tech,Camden,71701-1906,,0.216730038,0.298136646
190,Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
191,University of Arkansas-Fort Smith,Fort Smith,72913-3649,,0.254545455,0.229898075
192,Academy of Art University,San Francisco,94105,,0.101277804,0.090604027
193,ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.403152496,0.452518746
194,Academy of Chinese Culture and Health Sciences,Oakland,94612,,,
195,The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.745762712,0.609375
196,Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
197,College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
198,Allan Hancock College,Santa Maria,93454-6399,,0.093645485,0.076205288
199,American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,0.628205128,0.641791045
200,American Baptist Seminary of the West,Berkeley,94704-3029,,PrivacySuppressed,PrivacySuppressed
201,American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
202,American Beauty College,West Covina,91790,,PrivacySuppressed,PrivacySuppressed
203,American Career College-Los Angeles,Los Angeles,90004,,0.708333333,0.696815287
204,American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
205,American River College,Sacramento,95841-4286,,0.069365798,0.06394453
206,Antelope Valley College,Lancaster,93536-5426,,0.106637168,0.086053413
207,Art Center College of Design,Pasadena,91103,,0.642458101,0.439613527
208,Associated Technical College-Los Angeles,Los Angeles,90017-1604,,0.490140845,0.415217391
209,Associated Technical College-San Diego,San Diego,92101,,0.418604651,0.401098901
210,Azusa Pacific University,Azusa,91702-7000,,0.264236902,0.223796034
211,Bakersfield College,Bakersfield,93305-1299,,0.024523161,0.020573904
212,Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
213,Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
214,Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
215,Biola University,La Mirada,90639-0001,,0.658730159,0.538653367
216,Brooks Institute,Ventura,93001,,0.450381679,0.610062893
217,Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
218,Bryan University,Los Angeles,90010,,0.207865169,0.296296296
219,Butte College,Oroville,95965-8399,,0.054195804,0.050115207
220,Phillips Graduate University,Chatsworth,91311,,,
221,California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
222,Cabrillo College,Aptos,95003,,0.084280303,0.051428571
223,California Baptist University,Riverside,92504-3297,,0.339170507,0.290145985
224,California College of the Arts,San Francisco,94107-2247,,0.523076923,0.5
225,University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
226,California Institute of Technology,Pasadena,91125,,PrivacySuppressed,PrivacySuppressed
227,California Lutheran University,Thousand Oaks,91360-2787,,0.612756264,0.577160494
228,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.690192484,0.643668122
229,Alliant International University-San Diego,San Diego,92131,,PrivacySuppressed,PrivacySuppressed
230,California State University-Bakersfield,Bakersfield,93311-1099,,0.396431342,0.331695332
231,California State University-Stanislaus,Turlock,95382-0299,,0.396355353,0.393465909
232,California State University-San Bernardino,San Bernardino,92407-2397,,0.517181383,0.513816281
233,California State Polytechnic University-Pomona,Pomona,91768,,0.511749347,0.467820444
234,California State University-Chico,Chico,95929-0150,,0.589673913,0.545676998
235,California State University-Dominguez Hills,Carson,90747-0005,,0.429355966,0.411815812
236,California State University-Fresno,Fresno,93740,,0.47938359,0.422438466
237,California State University-Fullerton,Fullerton,92831-3599,,0.578388184,0.506637962
238,California State University-East Bay,Hayward,94542,,0.468641115,0.413306452
239,California State University-Long Beach,Long Beach,90840-0115,,0.581584794,0.542887029
