INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,,0.254901961,0.151603499
University of Alabama at Birmingham,Birmingham,35294-0110,,0.34738041,0.274122807
Amridge University,Montgomery,36117-3553,,0.285714286,0.269230769
University of Alabama in Huntsville,Huntsville,35899,,0.348684211,0.275862069
Alabama State University,Montgomery,36104-0271,,0.183507549,0.110787172
The University of Alabama,Tuscaloosa,35487-0166,,0.500362057,0.404533566
Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
Athens State University,Athens,35611,,0.565789474,0.475609756
Auburn University at Montgomery,Montgomery,36117-3596,,0.260759494,0.1966759
Auburn University,Auburn,36849,,0.342578711,0.203416149
Birmingham Southern College,Birmingham,35254,,PrivacySuppressed,PrivacySuppressed
Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
South University-Montgomery,Montgomery,36116,,0.263,0.215488216
Enterprise State Community College,Enterprise,36330-1300,,0.077844311,0.056047198
James H Faulkner State Community College,Bay Minette,36507-2698,,0.108757062,0.063360882
Faulkner University,Montgomery,36109-3390,,0.132835821,0.079422383
Gadsden State Community College,Gadsden,35903,,0.018046709,0.026570048
George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.079152731,0.051569507
George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
Herzing University-Birmingham,Birmingham,35209,,0.258823529,0.36
Huntingdon College,Montgomery,36106-2148,,0.387096774,0.306569343
Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
Jacksonville State University,Jacksonville,36265,,0.105113636,0.078717201
Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
Jefferson State Community College,Birmingham,35215-3098,,0.120223672,0.070063694
John C Calhoun State Community College,Tanner,35671,,0.066616767,0.018759019
Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
University of West Alabama,Livingston,35470,,0.369426752,0.230088496
Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
Miles College,Fairfield,35064-2621,,0.083850932,0.033333333
University of Mobile,Mobile,36613-2842,,0.319488818,0.295774648
University of Montevallo,Montevallo,35115-6000,,0.401129944,0.364640884
Northwest-Shoals Community College,Muscle Shoals,35661,,0.08186398,0.060465116
University of North Alabama,Florence,35632-0001,,0.250769231,0.199556541
Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
Oakwood University,Huntsville,35896,,0.238461539,0.172839506
Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
Bishop State Community College,Mobile,36603-5898,,PrivacySuppressed,PrivacySuppressed
Samford University,Birmingham,35229-2240,,0.637873754,0.638418079
Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
University of South Alabama,Mobile,36688-0002,,0.29261745,0.242350061
Spring Hill College,Mobile,36608-1791,,0.415525114,0.417475728
Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
Stillman College,Tuscaloosa,35401,,0.183544304,0.114583333
Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
Troy University,Troy,36082-0001,,0.174458875,0.128205128
Tuskegee University,Tuskegee,36088-1920,,0.3183391,0.209923664
United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
University of Alaska Anchorage,Anchorage,99508,,0.198004605,0.195478723
University of Alaska Fairbanks,Fairbanks,99775-7500,,0.153589316,0.18627451
University of Alaska Southeast,Juneau,99801-8697,,0.223958333,0.136363636
Alaska Pacific University,Anchorage,99508,,PrivacySuppressed,PrivacySuppressed
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
