INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,,,
University of Alabama at Birmingham,Birmingham,35294-0110,,,
Amridge University,Montgomery,36117-3553,,,
University of Alabama in Huntsville,Huntsville,35899,,,
Alabama State University,Montgomery,36104-0271,,,
The University of Alabama,Tuscaloosa,35487-0166,,,
Central Alabama Community College,Alexander City,35010,,,
Athens State University,Athens,35611,,,
Auburn University at Montgomery,Montgomery,36117-3596,,,
Auburn University,Auburn,36849,,,
Lawson State Community College-Bessemer Campus,Bessemer,35022,,,
Birmingham Southern College,Birmingham,35254,,,
Shelton State Community College-C A Fredd Campus,Tuscaloosa,35401,,,
Chattahoochee Valley Community College,Phenix City,36869,,,
CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,EUFAULA,36027,,,
Concordia College Alabama,Selma,36701,,,
LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMP,OPP,36467,,,
South University-Montgomery,Montgomery,36116,,,
Enterprise State Community College,Enterprise,36330-1300,,,
James H Faulkner State Community College,Bay Minette,36507-2698,,,
Faulkner University,Montgomery,36109-3390,,,
FAULKNER UNIVERSITY-BIRMINGHAM,BIRMINGHAM,35216-4506,,,
FAULKNER UNIVERSITY,HUNTSVILLE,35805-1963,,,
Gadsden Business College,Rainbow City,35906,,,
Gadsden State Community College,Gadsden,35903,,,
GADSDEN BUSINESS COLLEGE-ANNISTON,ANNISTON,36207,,,
George C Wallace State Community College-Dothan,Dothan,36303-9234,,,
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,,
George C Wallace State Community College-Selma,Selma,36703-2808,,,
GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,ANNISTON,36207,,,
Herzing University-Birmingham,Birmingham,35209,,,
Huntingdon College,Montgomery,36106-2148,,,
Heritage Christian University,Florence,35630-9977,,,
J F Drake State Community and Technical College,Huntsville,35811,,,
Jacksonville State University,Jacksonville,36265,,,
Jefferson Davis Community College,Brewton,36426,,,
Jefferson State Community College,Birmingham,35215-3098,,,
John C Calhoun State Community College,Tanner,35671,,,
H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTER,MONTGOMERY,36116-269,,,
Judson College,Marion,36756,,,
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,,
University of West Alabama,Livingston,35470,,,
Lurleen B Wallace Community College,Andalusia,36420-1418,,,
Marion Military Institute,Marion,36756-3207,,,
Miles College,Fairfield,35064-2621,,,
University of Mobile,Mobile,36613-2842,,,
University of Montevallo,Montevallo,35115-6000,,,
Northwest-Shoals Community College,Muscle Shoals,35661,,,
University of North Alabama,Florence,35632-0001,,,
Northeast Alabama Community College,Rainsville,35986,,,
Oakwood University,Huntsville,35896,,,
Alabama Southern Community College,Monroeville,36460,,,
Prince Institute-Southeast,Elmhurst,60126,,,
Reid State Technical College,Evergreen,36401,,,
Bishop State Community College,Mobile,36603-5898,,,
Samford University,Birmingham,35229-2240,,,
Shelton State Community College,Tuscaloosa,35405-8522,,,
Snead State Community College,Boaz,35957-0734,,,
University of South Alabama,Mobile,36688-0002,,,
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,FAIRHOPE,36532-2520,,,
Southern Community College,Tuskegee,36083-0688,,,
Spring Hill College,Mobile,36608-1791,,,
