INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,,0.268518519,0.16
University of Alabama at Birmingham,Birmingham,35294-0110,,0.37271854,0.407012195
Amridge University,Montgomery,36117-3553,,PrivacySuppressed,PrivacySuppressed
University of Alabama in Huntsville,Huntsville,35899,,0.29844098,0.157593123
Alabama State University,Montgomery,36104-0271,,0.144314869,0.090909091
The University of Alabama,Tuscaloosa,35487-0166,,0.424166667,0.3451015
Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
Athens State University,Athens,35611,,0.246418338,0.205882353
Auburn University at Montgomery,Montgomery,36117-3596,,0.206586826,0.146464647
Auburn University,Auburn,36849,,0.542569659,0.469373219
Lawson State Community College-Bessemer Campus,Bessemer,35022,,PrivacySuppressed,PrivacySuppressed
Birmingham Southern College,Birmingham,35254,,0.173228347,0.159574468
Shelton State Community College-C A Fredd Campus,Tuscaloosa,35401,,PrivacySuppressed,PrivacySuppressed
Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMP,OPP,36467,,PrivacySuppressed,PrivacySuppressed
South University-Montgomery,Montgomery,36116,,0.278688525,0.333333333
Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
James H Faulkner State Community College,Bay Minette,36507-2698,,PrivacySuppressed,PrivacySuppressed
Faulkner University,Montgomery,36109-3390,,0.091726619,0.038461539
FAULKNER UNIVERSITY-BIRMINGHAM,BIRMINGHAM,35216-4506,,0.091726619,0.038461539
FAULKNER UNIVERSITY,HUNTSVILLE,35805-1963,,0.091726619,0.038461539
Gadsden Business College,Rainbow City,35906,,0.515503876,0.522727273
Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
GADSDEN BUSINESS COLLEGE-ANNISTON,ANNISTON,36207,,0.515503876,0.522727273
George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.026829268,0.048034935
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,ANNISTON,36207,,PrivacySuppressed,PrivacySuppressed
Herzing University-Birmingham,Birmingham,35209,,0.330827068,0.413793103
Huntingdon College,Montgomery,36106-2148,,0.512820513,0.411764706
Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
Jacksonville State University,Jacksonville,36265,,0.08411215,0.069651741
Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
Jefferson State Community College,Birmingham,35215-3098,,0.078152753,0.049689441
John C Calhoun State Community College,Tanner,35671,,PrivacySuppressed,PrivacySuppressed
H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTER,MONTGOMERY,36116-269,,PrivacySuppressed,PrivacySuppressed
Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
University of West Alabama,Livingston,35470,,0.065384615,0.064516129
Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
Miles College,Fairfield,35064-2621,,0.120915033,0.079245283
University of Mobile,Mobile,36613-2842,,0.111111111,0.057291667
University of Montevallo,Montevallo,35115-6000,,0.335443038,0.265895954
Northwest-Shoals Community College,Muscle Shoals,35661,,0.070539419,0.041958042
University of North Alabama,Florence,35632-0001,,0.27145359,0.162637363
Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
Oakwood University,Huntsville,35896,,0.220472441,0.163551402
Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
Bishop State Community College,Mobile,36603-5898,,0.023383769,0.025462963
Samford University,Birmingham,35229-2240,,0.510638298,0.594117647
