,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.295566503,0.192771084
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.444930708,0.398717949
2,Amridge University,Montgomery,36117-3553,,0.317307692,0.342857143
3,University of Alabama in Huntsville,Huntsville,35899,,0.389830509,0.353754941
4,Alabama State University,Montgomery,36104-0271,,0.154888674,0.064257028
5,The University of Alabama,Tuscaloosa,35487-0166,,0.532438479,0.455994898
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.546899841,0.45210728
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.286451613,0.238227147
9,Auburn University,Auburn,36849,,0.115537849,0.077731092
10,Birmingham Southern College,Birmingham,35254,,0.234848485,0.220238095
11,Chattahoochee Valley Community College,Phenix City,36869,,0.119700748,0.071428571
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.165221659,0.145067698
14,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.106604867,0.058823529
16,Faulkner University,Montgomery,36109-3390,,0.231081081,0.118987342
17,Gadsden State Community College,Gadsden,35903,,0.134673367,0.095454546
18,New Beginning College of Cosmetology,Albertville,35951,,,
19,George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.172965116,0.11637931
20,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.280808081,0.196392786
21,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
22,Herzing University-Birmingham,Birmingham,35209,,0.331320104,0.326259947
23,Huntingdon College,Montgomery,36106-2148,,0.569148936,0.329113924
24,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
25,J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
26,Jacksonville State University,Jacksonville,36265,,0.324017467,0.21722365
27,Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
28,Jefferson State Community College,Birmingham,35215-3098,,0.149793388,0.118251928
29,John C Calhoun State Community College,Tanner,35671,,0.120456165,0.088741722
30,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
31,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,0.107551487,0.125628141
32,University of West Alabama,Livingston,35470,,0.23798627,0.156363636
33,Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
34,Marion Military Institute,Marion,36756-3207,,0.423076923,0.35
35,Miles College,Fairfield,35064-2621,,0.171837709,0.116666667
36,University of Mobile,Mobile,36613-2842,,0.452173913,0.376068376
37,University of Montevallo,Montevallo,35115-6000,,0.467532468,0.292397661
38,Northwest-Shoals Community College,Muscle Shoals,35661,,0.085850556,0.041975309
39,University of North Alabama,Florence,35632-0001,,0.367938931,0.287449393
40,Northeast Alabama Community College,Rainsville,35986,,0.221206581,0.141263941
41,Oakwood University,Huntsville,35896,,0.261029412,0.117346939
42,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
43,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
44,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
45,Bishop State Community College,Mobile,36603-5898,,0.095011877,0.075471698
46,Samford University,Birmingham,35229-2240,,0.633333333,0.608695652
47,Selma University,Selma,36701,,PrivacySuppressed,PrivacySuppressed
48,Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
49,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
50,University of South Alabama,Mobile,36688-0002,,0.304930006,0.281659389
51,Spring Hill College,Mobile,36608-1791,,0.395652174,0.469387755
52,Southeastern Bible College,Birmingham,35244-2083,,0.302325581,0.272727273
53,Stillman College,Tuscaloosa,35401,,0.28959276,0.091891892
54,Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
55,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
56,Troy University,Troy,36082-0001,,0.216257204,0.200937709
57,Tuskegee University,Tuskegee,36088-1920,,0.292576419,0.175824176
58,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
59,Bevill State Community College,Jasper,35501,,0.16627907,0.114361702
60,University of Alaska Anchorage,Anchorage,99508,,0.200743494,0.188591385
61,Alaska Bible College,Palmer,99645,,,
62,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.21402214,0.240837696
63,University of Alaska Southeast,Juneau,99801-8697,,0.182320442,0.164948454
64,Alaska Pacific University,Anchorage,99508,,0.402439024,0.416666667
65,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,0.6,0.550724638
66,Charter College,Vancouver,98683-7575,,0.462469734,0.380645161
67,Prince William Sound Community College,Valdez,99686-0097,,0.200743494,0.188591385
68,Alaska Career College,Anchorage,99507-1033,,0.759075908,0.673076923
69,Everest College-Phoenix,Phoenix,85021-1641,,0.277632724,0.180297398
70,Collins College,Phoenix,85040,,0.239173228,0.211895911
71,Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
72,Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
73,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
74,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
75,American Institute of Trucking,Phoenix,85043-4729,,0.659574468,0.670753065
76,Carrington College-Phoenix North,Phoenix,85051-4063,,0.717189729,0.694968554
77,Carrington College-Mesa,Mesa,85210,,0.717189729,0.694968554
78,Carrington College-Tucson,Tucson,85745,,0.717189729,0.694968554
79,CollegeAmerica-Flagstaff,Flagstaff,86001,,0.386075949,0.307692308
80,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
81,Arizona Automotive Institute,Glendale,85301-3579,,0.473684211,0.563718141
82,Brookline College-Phoenix,Phoenix,85021,,0.549318364,0.463414634
83,Arizona State University-Tempe,Tempe,85287,,0.537667175,0.473033252
84,Arizona Western College,Yuma,85365-8834,,PrivacySuppressed,PrivacySuppressed
85,University of Arizona,Tucson,85721-0066,,0.500903506,0.444001771
86,Southwest University of Visual Arts-Tucson,Tucson,85716,,0.196721312,0.137931035
87,Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
88,Central Arizona College,Coolidge,85128-9030,,0.132824428,0.09556314
89,Brown Mackie College-Tucson,Tucson,85712,,0.307121662,0.304455446
90,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
91,Cochise County Community College District,Douglas,85607-6190,,0.115973742,0.08496732
92,Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
93,Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
94,Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
95,DeVry University-Arizona,Phoenix,85021-2995,,0.142187224,0.112682198
96,Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
97,Eastern Arizona College,Thatcher,85552-0769,,0.158075601,0.127358491
98,Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.450980392,0.381920904
99,Frank Lloyd Wright School of Architecture,Scottsdale,85259,,PrivacySuppressed,PrivacySuppressed
100,Glendale Community College,Glendale,85302,,PrivacySuppressed,PrivacySuppressed
101,Grand Canyon University,Phoenix,85017,,0.132794457,0.102475533
102,Anthem College-Phoenix,Phoenix,85014,,0.50349076,0.514893617
103,International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
104,Lamson College,Tempe,85284,,0.474299065,0.390804598
105,Kaplan College-Phoenix,Phoenix,85029,,0.575471698,0.385714286
106,Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
107,GateWay Community College,Phoenix,85034,,0.070391062,0.05988024
108,Mesa Community College,Mesa,85202,,PrivacySuppressed,PrivacySuppressed
109,ITT Technical Institute-Tucson,Tucson,85704-5829,,0.27284264,0.385719683
110,ITT Technical Institute-Tempe,Tempe,85282,,0.27284264,0.385719683
111,Mohave Community College,Kingman,86409-1238,,0.156824782,0.091097309
112,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.705583756,0.715980025
113,Dine College,Tsaile,86556,,0.090604027,0.089552239
114,Northern Arizona University,Flagstaff,86011-4092,,0.473765432,0.406654344
115,Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
116,Ottawa University-Phoenix,Phoenix,85021,,0.275362319,0.227424749
117,Phoenix College,Phoenix,85013,,PrivacySuppressed,PrivacySuppressed
118,Cortiva Institute-Scottsdale,Scottsdale,85257,,PrivacySuppressed,PrivacySuppressed
119,University of Phoenix-Phoenix Campus,Tempe,85282-2371,,0.203170041,0.200926898
120,Pima Community College,Tucson,85709-1275,,0.099321899,0.078810021
121,Pima Medical Institute-Tucson,Tucson,85716,,0.745641484,0.702552719
122,Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.745641484,0.702552719
123,Prescott College,Prescott,86301,,0.241573034,0.135416667
124,Refrigeration School Inc,Phoenix,85034-1816,,PrivacySuppressed,PrivacySuppressed
125,Rio Salado College,Tempe,85281,,0.038083538,0.034482759
126,Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
127,Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
128,Scottsdale Community College,Scottsdale,85256,,PrivacySuppressed,PrivacySuppressed
129,South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
130,Arizona Christian University,Phoenix,85032-7097,,0.392156863,0.291139241
131,Tucson College,Tucson,85711,,0.603305785,0.568
132,Universal Technical Institute of Arizona Inc,Avondale,85323,,0.672222222,0.694069602
133,Western International University,Tempe,85282,,0.223214286,0.284946237
134,Empire Beauty School-NW Phoenix,Phoenix,85051,,PrivacySuppressed,PrivacySuppressed
135,Yavapai College,Prescott,86301,,0.231192661,0.226229508
136,University of Arkansas at Little Rock,Little Rock,72204,,0.236625514,0.18452381
137,University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.727002967,0.679611651
138,ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
139,Arkansas Baptist College,Little Rock,72202-6068,,0.215827338,0.089219331
140,Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
141,Arkansas Beauty College,Russellville,72801,,PrivacySuppressed,PrivacySuppressed
142,Lyon College,Batesville,72501,,0.546391753,0.459016393
143,Arkansas College of Barbering and Hair Design,North Little Rock,72114,,0.72972973,0.78
144,Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
145,University of Arkansas,Fayetteville,72701,,0.460807601,0.405773857
146,University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.232142857,0.146067416
147,Arkansas State University-Beebe,Beebe,72012-1000,,0.277777778,0.256329114
148,Arkansas State University-Main Campus,Jonesboro,72401,,0.370389884,0.277777778
149,Arkansas Tech University,Russellville,72801-2222,,0.390562249,0.345208845
150,University of Arkansas at Monticello,Monticello,71656,,0.195723684,0.143902439
151,Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
152,Baptist Health College-Little Rock,Little Rock,72210-2820,,0.56684492,0.558823529
153,Black River Technical College,Pocahontas,72455,,PrivacySuppressed,PrivacySuppressed
154,University of Central Arkansas,Conway,72035-0001,,0.375838926,0.296122209
