INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
Troy State University-Dothan Campus,Dothan,36304,,0.102040816,0.08
TROY STATE UNIVERSITY-PHENIX CITY,PHENIX CITY,36869,,0.127252252,0.105360444
Troy State University-Montgomery,Montgomery,36103-4419,,0.125894135,0.113924051
Troy University,Troy,36082-0001,,0.127252252,0.105360444
Tuskegee University,Tuskegee,36088-1920,,0.204204204,0.08881579
United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
University of Alaska Anchorage,Anchorage,99508,,0.086901763,0.066820277
University of Alaska Fairbanks,Fairbanks,99775-7500,,0.153684211,0.142857143
University of Alaska Southeast,Juneau,99801-8697,,PrivacySuppressed,PrivacySuppressed
Alaska Pacific University,Anchorage,99508,,PrivacySuppressed,PrivacySuppressed
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
Charter College,Vancouver,98683-7575,,0.260504202,0.30952381
Prince William Sound Community College,Valdez,99686-0097,,0.086901763,0.066820277
Sheldon Jackson College,Sitka,99835-7699,,PrivacySuppressed,PrivacySuppressed
Alaska Career College,Anchorage,99507-1033,,0.628865979,0.531914894
Everest College-Phoenix,Phoenix,85021-1641,,0.411764706,0.484375
Collins College,Phoenix,85040,,0.590163934,0.62052506
Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
American Institute of Trucking,Phoenix,85043-4729,,0.825842697,0.803797468
Carrington College-Phoenix North,Phoenix,85051-4063,,0.570458404,0.664160401
Carrington College-Mesa,Mesa,85210,,0.570458404,0.664160401
Carrington College-Tucson,Tucson,85745,,0.570458404,0.664160401
CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
Arizona Automotive Institute,Glendale,85301-3579,,PrivacySuppressed,PrivacySuppressed
Brookline College-Phoenix,Phoenix,85021,,0.425981873,0.46122449
Arizona State University-Tempe,Tempe,85287,,0.239738562,0.235761132
Arizona Western College,Yuma,85365-8834,,0.026809652,0.029082774
University of Arizona,Tucson,85721-0066,,0.281891169,0.233529727
Southwest University of Visual Arts-Tucson,Tucson,85716,,0.267716535,0.333333333
Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
Central Arizona College,Coolidge,85128-9030,,0.077922078,0.09223301
Brown Mackie College-Tucson,Tucson,85712,,0.303167421,0.347457627
Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
Cochise County Community College District,Douglas,85607-6190,,0.087030717,0.081151833
Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
DeVoe College of Beauty,Sierra Vista,85635-1832,,PrivacySuppressed,PrivacySuppressed
DeVry University-Arizona,Phoenix,85021-2995,,0.166062802,0.176231803
Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.091954023,0.068757539
Glendale Community College,Glendale,85302,,0.018456376,0.024637681
Grand Canyon University,Phoenix,85017,,0.203448276,0.142857143
Anthem College-Phoenix,Phoenix,85014,,0.574568289,0.591137124
International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
Lamson College,Tempe,85284,,0.487179487,0.432432432
Kaplan College-Phoenix,Phoenix,85029,,0.638297872,0.526666667
Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
GateWay Community College,Phoenix,85034,,0.055238095,0.032345014
Mesa Community College,Mesa,85202,,0.016382253,0.017674419
ITT Technical Institute-Tucson,Tucson,85704-5829,,0.243523316,0.376436782
ITT Technical Institute-Tempe,Tempe,85282,,0.353535354,0.397515528
Mohave Community College,Kingman,86409-1238,,PrivacySuppressed,PrivacySuppressed
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.732848233,0.697068404
Mundus Institute,Phoenix,85015,,PrivacySuppressed,PrivacySuppressed
Dine College,Tsaile,86556,,PrivacySuppressed,PrivacySuppressed
Northern Arizona University,Flagstaff,86011-4092,,0.260212647,0.231799163
Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
Ottawa University-Phoenix,Phoenix,85021,,0.33192389,0.205047319
Empire Beauty School-Glendale,Glendale,85304,,PrivacySuppressed,PrivacySuppressed
Phoenix College,Phoenix,85013,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Scottsdale,Scottsdale,85257,,0.763157895,0.756097561
University of Phoenix-Phoenix Campus,Tempe,85282-2371,,0.174104463,0.171655674
Pima Community College,Tucson,85709-1275,,0.06787998,0.038709677
Pima Medical Institute-Tucson,Tucson,85716,,0.6,0.594047619
Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.6,0.594047619
Prescott College,Prescott,86301,,0.339393939,0.279069767
Refrigeration School Inc,Phoenix,85034-1816,,0.759615385,0.65625
Rio Salado College,Tempe,85281,,PrivacySuppressed,PrivacySuppressed
Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
Scottsdale Community College,Scottsdale,85256,,0.022132797,0.024096386
South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
Long Technical College-East Valley,Phoenix,85008-1716,,PrivacySuppressed,PrivacySuppressed
Arizona Christian University,Phoenix,85032-7097,,0.5,0.483870968
Tucson College,Tucson,85711,,0.589285714,0.514851485
Universal Technical Institute of Arizona Inc,Avondale,85323,,0.646464647,0.718807621
Metropolitan College,Phoenix,85008-6940,,PrivacySuppressed,PrivacySuppressed
Western International University,Tempe,85282,,0.104294479,0.12037037
Empire Beauty School-NW Phoenix,Phoenix,85051,,0.623376623,0.5
Yavapai College,Prescott,86301,,PrivacySuppressed,PrivacySuppressed
University of Arkansas at Little Rock,Little Rock,72204,,0.071118821,0.035031847
University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.775119617,0.714285714
ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
Arkansas Baptist College,Little Rock,72202-6068,,PrivacySuppressed,PrivacySuppressed
Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
Lyon College,Batesville,72501,,0.486842105,0.604166667
Arkansas College of Barbering and Hair Design,North Little Rock,72114,,PrivacySuppressed,PrivacySuppressed
Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
University of Arkansas,Fayetteville,72701,,0.103480715,0.071713147
University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.253829322,0.115789474
Arkansas State University-Beebe,Beebe,72012-1000,,0.231351981,0.173010381
Arkansas State University-Main Campus,Jonesboro,72401,,0.231351981,0.173010381
Arkansas Tech University,Russellville,72801-2222,,0.245762712,0.247011952
University of Arkansas at Monticello,Monticello,71656,,0.172910663,0.163194444
Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
Baptist Health College-Little Rock,Little Rock,72210-2820,,PrivacySuppressed,PrivacySuppressed
Bee Jays Academy,Batesville,72501,,PrivacySuppressed,PrivacySuppressed
Black River Technical College,Pocahontas,72455,,PrivacySuppressed,PrivacySuppressed
University of Central Arkansas,Conway,72035-0001,,0.344162437,0.262903226
Central Baptist College,Conway,72034,,PrivacySuppressed,PrivacySuppressed
Blytheville Academy of Cosmetology,Blytheville,72315,,PrivacySuppressed,PrivacySuppressed
Cossatot Community College of the University of Arkansas,De Queen,71832,,PrivacySuppressed,PrivacySuppressed
Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
Crowley's Ridge Technical Institute,Forrest City,72335-0925,,PrivacySuppressed,PrivacySuppressed
De Luxe Beauty School,Pine Bluff,71603-1666,,PrivacySuppressed,PrivacySuppressed
East Arkansas Community College,Forrest City,72335-2204,,PrivacySuppressed,PrivacySuppressed
Eastern College of Health Vocations-Little Rock,Little Rock,72205,,0.556034483,0.616666667
Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
ARKANSAS STATE UNIVERSITY-SEARCY,SEARCY,72143,,PrivacySuppressed,PrivacySuppressed
National Park College,Hot Springs,71913,,PrivacySuppressed,PrivacySuppressed
University of Arkansas Community College-Batesville,Batesville,72503-3350,,PrivacySuppressed,PrivacySuppressed
Harding University Graduate School of Religion,Memphis,38117-5499,,0.304932735,0.281323877
Harding University,Searcy,72149-5615,,0.304932735,0.281323877
Henderson State University,Arkadelphia,71999-0001,,0.05707196,0.04601227
Hendrix College,Conway,72032-3080,,0.454545455,0.32
Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
John Brown University,Siloam Springs,72761,,0.463054187,0.447058824
Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
Marsha Kay Beauty College,Mountain Home,72653-3164,,PrivacySuppressed,PrivacySuppressed
Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
Arkansas State University Mid-South,West Memphis,72301-3829,,PrivacySuppressed,PrivacySuppressed
Arkansas Northeastern College,Blytheville,72316-1109,,PrivacySuppressed,PrivacySuppressed
Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
North Arkansas College,Harrison,72601-5508,,0.149006623,0.097297297
Northwest Technical Institute,Springdale,72764,,PrivacySuppressed,PrivacySuppressed
Ouachita Baptist University,Arkadelphia,71998-0001,,0.380681818,0.346405229
College of the Ouachitas,Malvern,72104-0816,,PrivacySuppressed,PrivacySuppressed
Ozarka College,Melbourne,72556-0010,,PrivacySuppressed,PrivacySuppressed
University of the Ozarks,Clarksville,72830,,0.313432836,0.285714286
University of Arkansas Community College-Morrilton,Morrilton,72110,,PrivacySuppressed,PrivacySuppressed
Philander Smith College,Little Rock,72202-3799,,0.208092486,0.114754098
Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
Pulaski Technical College,North Little Rock,72118-3347,,0.064661654,0.041208791
University of Arkansas Community College-Hope,Hope,71801,,PrivacySuppressed,PrivacySuppressed
Rich Mountain Community College,Mena,71953,,PrivacySuppressed,PrivacySuppressed
Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
Williams Baptist College,Walnut Ridge,72476,,0.353982301,0.25
SOUTHERN INSTITUTE OF COSMETOLOGY,Memphis,38118,,PrivacySuppressed,PrivacySuppressed
South Arkansas Community College,El Dorado,71731-7010,,PrivacySuppressed,PrivacySuppressed
Southern Arkansas University Main Campus,Magnolia,71753,,0.314516129,0.175572519
Southern Arkansas University Tech,Camden,71701-1906,,PrivacySuppressed,PrivacySuppressed
Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
University of Arkansas-Fort Smith,Fort Smith,72913-3649,,0.058935361,0.046332046
Abram Friedman Occupational Center,Los Angeles,90015-3507,,,
Academy of Art University,San Francisco,94105,,0.205882353,0.163097199
ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.340540541,0.359430605
Academy of Chinese Culture and Health Sciences,Oakland,94612,,PrivacySuppressed,PrivacySuppressed
Academy of Professional Careers,San Diego,92120,,0.673846154,0.762376238
The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.642857143,0.636363636
Academy Pacific Travel College,Los Angeles,90028-5218,,0.71484375,0.673076923
Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
Allan Hancock College,Santa Maria,93454-6399,,PrivacySuppressed,PrivacySuppressed
American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,0.413043478,0.446808511
American Baptist Seminary of the West,Berkeley,94704-3029,,,
American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
American Beauty College,West Covina,91790,,PrivacySuppressed,PrivacySuppressed
American InterContinental University,Los Angeles,90066,,0.34423676,0.501618123
American Career College-Los Angeles,Los Angeles,90004,,0.598591549,0.690021231
American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
American River College,Sacramento,95841-4286,,PrivacySuppressed,PrivacySuppressed
Everest College-Hayward,Hayward,94541,,PrivacySuppressed,PrivacySuppressed
Antelope Valley College,Lancaster,93536-5426,,0.045845272,0.037940379
Art Center College of Design,Pasadena,91103,,0.695652174,0.632075472
Associated Technical College-Los Angeles,Los Angeles,90017-1604,,PrivacySuppressed,PrivacySuppressed
Associated Technical College-San Diego,San Diego,92101,,PrivacySuppressed,PrivacySuppressed
Associated Technical College,Vista,92084,,PrivacySuppressed,PrivacySuppressed
Azusa Pacific University,Azusa,91702-7000,,0.455847255,0.394540943
Bakersfield College,Bakersfield,93305-1299,,PrivacySuppressed,PrivacySuppressed
Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
Bethany University,Scotts Valley,95066-2898,,0.330434783,0.205882353
Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
Biola University,La Mirada,90639-0001,,0.456876457,0.380073801
Brooks College,Long Beach,90804,,0.430575035,0.485316847
Brooks Institute,Ventura,93001,,0.425925926,0.5
Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
Bryan University,Los Angeles,90010,,PrivacySuppressed,PrivacySuppressed
Butte College,Oroville,95965-8399,,0.067391304,0.063513514
Phillips Graduate University,Chatsworth,91311,,,
California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
Cabrillo College,Aptos,95003,,PrivacySuppressed,PrivacySuppressed
California Baptist University,Riverside,92504-3297,,0.423076923,0.348717949
California College of the Arts,San Francisco,94107-2247,,0.418300654,0.455445545
University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
California Institute of Technology,Pasadena,91125,,PrivacySuppressed,PrivacySuppressed
California Lutheran University,Thousand Oaks,91360-2787,,0.221343874,0.151111111
California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.164094232,0.127383677
Alliant International University,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
Alliant International University,Alhambra,91803-1360,,,
Alliant International University-San Diego,San Diego,92131,,0.639344262,0.454545455
Alliant International University,San Francisco,94133-1221,,,
California State University-Bakersfield,Bakersfield,93311-1099,,0.246505718,0.164319249
California State University-Stanislaus,Turlock,95382-0299,,0.06573957,0.069651741
California State University-San Bernardino,San Bernardino,92407-2397,,0.184146342,0.140449438
California State Polytechnic University-Pomona,Pomona,91768,,0.130062305,0.079355239
California State University-Chico,Chico,95929-0150,,0.128552097,0.108003108
California State University-Dominguez Hills,Carson,90747-0005,,0.223628692,0.210526316
California State University-Fresno,Fresno,93740,,0.071471835,0.042735043
California State University-Fullerton,Fullerton,92831-3599,,0.091202583,0.063192182
California State University-East Bay,Hayward,94542,,0.08033241,0.075697211
California State University-Long Beach,Long Beach,90840-0115,,0.130820399,0.126575029
California State University-Los Angeles,Los Angeles,90032-8506,,0.136952499,0.113861386
California State University-Northridge,Northridge,91330,,0.083211144,0.063320023
California State University-Sacramento,Sacramento,95819-2694,,0.196205261,0.156965337
University of California-Berkeley,Berkeley,94720,,0.469377756,0.420272673
University of California-Davis,Davis,95616-8678,,0.103178739,0.104017217
University of California-Irvine,Irvine,92697,,0.402497027,0.346694796
University of California-Los Angeles,Los Angeles,90095-1405,,0.151457055,0.141341052
University of California-Riverside,Riverside,92521,,0.133637549,0.095829636
University of California-San Diego,La Jolla,92093,,0.101718213,0.079124579
University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
University of California-Santa Barbara,Santa Barbara,93106,,0.463373084,0.363984674
University of California-Santa Cruz,Santa Cruz,95064-1011,,0.042446941,0.037320574
Sofia University,Palo Alto,94303,,,
California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.837320574,0.732142857
California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
California Institute of the Arts,Valencia,91355-2397,,0.670731707,0.584615385
California State University Maritime Academy,Vallejo,94590,,PrivacySuppressed,PrivacySuppressed
California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
Canada College,Redwood City,94061-1099,,PrivacySuppressed,PrivacySuppressed
College of the Canyons,Santa Clarita,91355-1899,,PrivacySuppressed,PrivacySuppressed
Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
Casa Loma College-Van Nuys,Van Nuys,91405,,0.682758621,0.696969697
CET-San Diego,San Diego,92102,,0.137795276,0.121765601
CET-Sobrato,San Jose,95110,,0.137795276,0.121765601
CET-El Centro,El Centro,92243,,0.137795276,0.121765601
CET-Colton,Colton,92324,,0.137795276,0.121765601
CET-Watsonville,Watsonville,95076,,0.137795276,0.121765601
CET-Gilroy,Gilroy,95020,,0.137795276,0.121765601
CET-Salinas,Salinas,93901,,0.137795276,0.121765601
Cerritos College,Norwalk,90650-6298,,0.029086678,0.017021277
Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
Chabot College,Hayward,94545,,PrivacySuppressed,PrivacySuppressed
Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
Chapman University,Orange,92866,,0.290206649,0.242857143
Charles R Drew University of Medicine and Science,Los Angeles,90059,,0.767857143,0.827586207
Concordia University-Irvine,Irvine,92612-3203,,0.372469636,0.275862069
San Diego Christian College,Santee,92071,,0.504424779,0.423076923
Church Divinity School of the Pacific,Berkeley,94709-1211,,PrivacySuppressed,PrivacySuppressed
Citrus College,Glendora,91741-1899,,PrivacySuppressed,PrivacySuppressed
City College of San Francisco,San Francisco,94112-1898,,0.068965517,0.038235294
CITY UNIVERSITY-LOS ANGELES,Los Angeles,90045,,0.317073171,0.245283019
Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
Claremont McKenna College,Claremont,91711-6400,,0.661764706,0.695652174
Milan Institute-Visalia,Visalia,93277,,0.593837535,0.682310469
Cleveland Chiropractic College of Los Angeles,Los Angeles,90004-2196,,PrivacySuppressed,PrivacySuppressed
Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
Coastline Community College,Fountain Valley,92708-2597,,PrivacySuppressed,PrivacySuppressed
Cogswell College,San Jose,95134,,PrivacySuppressed,PrivacySuppressed
Coleman University,San Diego,92123-1506,,0.826732673,0.773712737
Coba Cosmetology Academy,Orange,92866,,,
National Polytechnic College of Science,Wilmington,90744-6399,,PrivacySuppressed,PrivacySuppressed
Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
Columbia College,Sonora,95370,,PrivacySuppressed,PrivacySuppressed
Columbia College-Hollywood,Tarzana,91356-1411,,PrivacySuppressed,PrivacySuppressed
El Camino College-Compton Center,Compton,90221-5393,,PrivacySuppressed,PrivacySuppressed
Western Beauty Institute,Panorama City,91402,,PrivacySuppressed,PrivacySuppressed
Contra Costa College,San Pablo,94806-3195,,PrivacySuppressed,PrivacySuppressed
Cosumnes River College,Sacramento,95823-5799,,PrivacySuppressed,PrivacySuppressed
Crafton Hills College,Yucaipa,92339-1799,,PrivacySuppressed,PrivacySuppressed
Cuesta College,San Luis Obispo,93403-8106,,PrivacySuppressed,PrivacySuppressed
Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Bell,Bell,90201,,0.585034014,0.532258065
Cypress College,Cypress,90630-5897,,PrivacySuppressed,PrivacySuppressed
D-Q UNIVERSITY,DAVIS,95617-040,,PrivacySuppressed,PrivacySuppressed
De Anza College,Cupertino,95014,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Hemet,Hemet,92545,,PrivacySuppressed,PrivacySuppressed
Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,PrivacySuppressed,PrivacySuppressed
College of the Desert,Palm Desert,92260,,PrivacySuppressed,PrivacySuppressed
Design Institute of San Diego,San Diego,92121,,PrivacySuppressed,PrivacySuppressed
DeVry University-California,Pomona,91768-2642,,0.166062802,0.176231803
Diablo Valley College,Pleasant Hill,94523,,PrivacySuppressed,PrivacySuppressed
Dominican University of California,San Rafael,94901-2298,,0.474789916,0.492307692
Dominican School of Philosophy & Theology,Berkeley,94708-1816,,PrivacySuppressed,PrivacySuppressed
Don Bosco Technical Institute,Rosemead,91770-4299,,PrivacySuppressed,PrivacySuppressed
East Los Angeles College,Monterey Park,91754-6099,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Santa Clara,Santa Clara,95050,,PrivacySuppressed,PrivacySuppressed
San Diego Continuing Education,San Diego,92113,,PrivacySuppressed,PrivacySuppressed
El Camino Community College District,Torrance,90506,,PrivacySuppressed,PrivacySuppressed
Elegance International,Hollywood,90028-6106,,,
