INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,www.aamu.edu/,,
University of Alabama at Birmingham,Birmingham,35294-0110,www.uab.edu,,
Amridge University,Montgomery,36117-3553,www.amridgeuniversity.edu,,
University of Alabama in Huntsville,Huntsville,35899,www.uah.edu,,
Alabama State University,Montgomery,36104-0271,www.alasu.edu,,
The University of Alabama,Tuscaloosa,35487-0166,www.ua.edu/,,
Central Alabama Community College,Alexander City,35010,www.cacc.edu,,
Athens State University,Athens,35611,www.athens.edu,,
Auburn University at Montgomery,Montgomery,36117-3596,www.aum.edu,,
Auburn University,Auburn,36849,www.auburn.edu,,
Birmingham Southern College,Birmingham,35254,www.bsc.edu/,,
Chattahoochee Valley Community College,Phenix City,36869,www.cv.edu,,
Concordia College Alabama,Selma,36701,www.ccal.edu/,,
South University-Montgomery,Montgomery,36116,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",,
Enterprise State Community College,Enterprise,36330-1300,www.escc.edu,,
James H Faulkner State Community College,Bay Minette,36507-2698,www.faulknerstate.edu,,
Faulkner University,Montgomery,36109-3390,www.faulkner.edu,,
Gadsden State Community College,Gadsden,35903,www.gadsdenstate.edu,,
New Beginning College of Cosmetology,Albertville,35951,www.nbccosmetology.com,,
George C Wallace State Community College-Dothan,Dothan,36303-9234,www.wallace.edu,,
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,www.wallacestate.edu,,
George C Wallace State Community College-Selma,Selma,36703-2808,www.wccs.edu,,
Herzing University-Birmingham,Birmingham,35209,www.herzing.edu/,,
Huntingdon College,Montgomery,36106-2148,www.huntingdon.edu,,
Heritage Christian University,Florence,35630-9977,www.hcu.edu,,
J F Drake State Community and Technical College,Huntsville,35811,www.drakestate.edu,,
Jacksonville State University,Jacksonville,36265,www.jsu.edu/,,
Jefferson Davis Community College,Brewton,36426,www.jdcc.edu,,
Jefferson State Community College,Birmingham,35215-3098,www.jeffstateonline.com,,
John C Calhoun State Community College,Tanner,35671,www.calhoun.edu,,
Judson College,Marion,36756,www.judson.edu,,
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,www.lawsonstate.edu,,
University of West Alabama,Livingston,35470,www.uwa.edu,,
Lurleen B Wallace Community College,Andalusia,36420-1418,www.lbwcc.edu,,
Marion Military Institute,Marion,36756-3207,www.marionmilitary.edu,,
Miles College,Fairfield,35064-2621,www.miles.edu,,
University of Mobile,Mobile,36613-2842,www.umobile.edu,,
University of Montevallo,Montevallo,35115-6000,www.montevallo.edu,,
Northwest-Shoals Community College,Muscle Shoals,35661,www.nwscc.edu,,
University of North Alabama,Florence,35632-0001,www.una.edu,,
Northeast Alabama Community College,Rainsville,35986,www.nacc.edu,,
Oakwood University,Huntsville,35896,www.oakwood.edu,,
Alabama Southern Community College,Monroeville,36460,www.ascc.edu,,
Prince Institute-Southeast,Elmhurst,60126,princeinstitute.edu,,
Reid State Technical College,Evergreen,36401,www.rstc.edu,,
Bishop State Community College,Mobile,36603-5898,www.bishop.edu,,
Samford University,Birmingham,35229-2240,www.samford.edu,,
Selma University,Selma,36701,selmauniversity.edu,,
Shelton State Community College,Tuscaloosa,35405-8522,www.sheltonstate.edu,,
Snead State Community College,Boaz,35957-0734,www.snead.edu,,
University of South Alabama,Mobile,36688-0002,www.southalabama.edu,,
Spring Hill College,Mobile,36608-1791,www.shc.edu,,
Southeastern Bible College,Birmingham,35244-2083,sebc.edu/,,
Stillman College,Tuscaloosa,35401,www.stillman.edu,,
Talladega College,Talladega,35160,www.talladega.edu,,
H Councill Trenholm State Community College,Montgomery,36108-3199,www.trenholmstate.edu,,
Troy University,Troy,36082-0001,www.troy.edu,,
Tuskegee University,Tuskegee,36088-1920,www.tuskegee.edu,,
United States Sports Academy,Daphne,36526-7055,www.ussa.edu,,
Bevill State Community College,Jasper,35501,www.bscc.edu,,
University of Alaska Anchorage,Anchorage,99508,www.uaa.alaska.edu,,
Alaska Bible College,Palmer,99645,www.akbible.edu/,,
University of Alaska Fairbanks,Fairbanks,99775-7500,www.uaf.edu,,
University of Alaska Southeast,Juneau,99801-8697,www.uas.alaska.edu,,
Alaska Pacific University,Anchorage,99508,www.alaskapacific.edu,,
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,www.avtec.edu/,,
Charter College,Vancouver,98683-7575,www.chartercollege.edu,,
Alaska Career College,Anchorage,99507-1033,www.alaskacareercollege.edu,,
Empire Beauty School-Tucson,Tucson,85716,www.empire.edu,,
Thunderbird School of Global Management,Glendale,85306-6000,https://thunderbird.asu.edu/about/,,
American Indian College Inc,Phoenix,85021,www.aicag.edu/,,
American Institute of Trucking,Phoenix,85043-4729,www.ait-schools.com,,
Carrington College-Phoenix North,Phoenix,85051-4063,www.carrington.edu,,
Carrington College-Mesa,Mesa,85210,www.carrington.edu,,
Carrington College-Tucson,Tucson,85745,www.carrington.edu,,
CollegeAmerica-Flagstaff,Flagstaff,86001,www.collegeamerica.edu,,
Arizona Academy of Beauty-East,Tucson,85712,www.arizonaacademy.com,,
Arizona Automotive Institute,Glendale,85301-3579,www.aai.edu,,
Brookline College-Phoenix,Phoenix,85021,www.brooklinecollege.edu,,
Arizona State University-Tempe,Tempe,85287,www.asu.edu/,,
Arizona Western College,Yuma,85365-8834,www.azwestern.edu,,
University of Arizona,Tucson,85721-0066,www.arizona.edu,,
Southwest University of Visual Arts-Tucson,Tucson,85716,www.suva.edu,,
Central Arizona College,Coolidge,85128-9030,www.centralaz.edu,,
Brown Mackie College-Tucson,Tucson,85712,www.brownmackie.edu,,
