,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.268833087,0.166910688
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.334222815,0.284883721
2,Amridge University,Montgomery,36117-3553,,0.28,0.28358209
3,University of Alabama in Huntsville,Huntsville,35899,,0.354297694,0.320512821
4,Alabama State University,Montgomery,36104-0271,,0.188640974,0.065976714
5,The University of Alabama,Tuscaloosa,35487-0166,,0.474601971,0.384466019
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.576112412,0.471910112
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.254691689,0.228813559
9,Auburn University,Auburn,36849,,0.339541547,0.312453393
10,Birmingham Southern College,Birmingham,35254,,PrivacySuppressed,PrivacySuppressed
11,Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.265284974,0.222689076
14,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.09180791,0.085333333
16,Faulkner University,Montgomery,36109-3390,,0.110271903,0.111455108
17,Gadsden Business College,Rainbow City,35906,,0.637614679,0.576923077
18,Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
19,George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
20,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,PrivacySuppressed,PrivacySuppressed
21,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
22,Herzing University-Birmingham,Birmingham,35209,,0.226415094,0.2890625
23,Huntingdon College,Montgomery,36106-2148,,0.454545455,0.394736842
24,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
25,J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
26,Jacksonville State University,Jacksonville,36265,,0.081466395,0.048275862
27,Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
28,Jefferson State Community College,Birmingham,35215-3098,,0.08987701,0.066339066
29,John C Calhoun State Community College,Tanner,35671,,0.029078014,0.016793893
30,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
31,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
32,University of West Alabama,Livingston,35470,,0.352941177,0.192118227
33,Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
34,Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
35,Miles College,Fairfield,35064-2621,,0.074168798,0.03313253
36,University of Mobile,Mobile,36613-2842,,0.322815534,0.213235294
37,University of Montevallo,Montevallo,35115-6000,,0.435768262,0.346590909
38,Northwest-Shoals Community College,Muscle Shoals,35661,,0.087336245,0.044025157
39,University of North Alabama,Florence,35632-0001,,0.274509804,0.207852194
40,Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
41,Oakwood University,Huntsville,35896,,0.254098361,0.157575758
42,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
43,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
44,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
45,Bishop State Community College,Mobile,36603-5898,,0.022187005,0.024344569
46,Samford University,Birmingham,35229-2240,,0.649681529,0.567073171
47,Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
48,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
49,University of South Alabama,Mobile,36688-0002,,0.291723202,0.24563591
50,Spring Hill College,Mobile,36608-1791,,0.497175141,0.448275862
51,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
52,Stillman College,Tuscaloosa,35401,,0.243119266,0.146017699
53,Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
54,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
55,Troy University,Troy,36082-0001,,0.154205608,0.148309706
56,Tuskegee University,Tuskegee,36088-1920,,0.388095238,0.171919771
57,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
58,Bevill State Community College,Jasper,35501,,0.024261603,0.028871391
59,University of Alaska Anchorage,Anchorage,99508,,0.192807957,0.155148096
60,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.189964158,0.213450292
61,University of Alaska Southeast,Juneau,99801-8697,,0.211538462,0.108910891
