,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,,
1,University of Alabama at Birmingham,Birmingham,35294-0110,,,
2,Amridge University,Montgomery,36117-3553,,,
3,University of Alabama in Huntsville,Huntsville,35899,,,
4,Alabama State University,Montgomery,36104-0271,,,
5,The University of Alabama,Tuscaloosa,35487-0166,,,
6,Central Alabama Community College,Alexander City,35010,,,
7,Athens State University,Athens,35611,,,
8,Auburn University at Montgomery,Montgomery,36117-3596,,,
9,Auburn University,Auburn,36849,,,
10,Lawson State Community College-Bessemer Campus,Bessemer,35022,,,
11,Birmingham Southern College,Birmingham,35254,,,
12,Chattahoochee Valley Community College,Phenix City,36869,,,
13,CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,EUFAULA,36027,,,
14,Concordia College Alabama,Selma,36701,,,
15,LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMP,OPP,36467,,,
16,South University-Montgomery,Montgomery,36116,,,
17,Enterprise State Community College,Enterprise,36330-1300,,,
18,James H Faulkner State Community College,Bay Minette,36507-2698,,,
19,Faulkner University,Montgomery,36109-3390,,,
20,FAULKNER UNIVERSITY-BIRMINGHAM,BIRMINGHAM,35216-4506,,,
21,FAULKNER UNIVERSITY,HUNTSVILLE,35805-1963,,,
22,Gadsden Business College,Rainbow City,35906,,,
23,Gadsden State Community College,Gadsden,35903,,,
24,GADSDEN BUSINESS COLLEGE-ANNISTON,ANNISTON,36207,,,
25,George C Wallace State Community College-Dothan,Dothan,36303-9234,,,
26,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,,
27,George C Wallace State Community College-Selma,Selma,36703-2808,,,
28,GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,ANNISTON,36207,,,
29,Herzing University-Birmingham,Birmingham,35209,,,
30,Huntingdon College,Montgomery,36106-2148,,,
31,Heritage Christian University,Florence,35630-9977,,,
32,J F Drake State Community and Technical College,Huntsville,35811,,,
33,Jacksonville State University,Jacksonville,36265,,,
34,Jefferson Davis Community College,Brewton,36426,,,
35,Jefferson State Community College,Birmingham,35215-3098,,,
36,John C Calhoun State Community College,Tanner,35671,,,
37,H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTER,MONTGOMERY,36116-269,,,
38,Judson College,Marion,36756,,,
39,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,,
40,University of West Alabama,Livingston,35470,,,
41,Lurleen B Wallace Community College,Andalusia,36420-1418,,,
42,Marion Military Institute,Marion,36756-3207,,,
43,Miles College,Fairfield,35064-2621,,,
44,University of Mobile,Mobile,36613-2842,,,
45,University of Montevallo,Montevallo,35115-6000,,,
46,Northwest-Shoals Community College,Muscle Shoals,35661,,,
47,University of North Alabama,Florence,35632-0001,,,
48,Northeast Alabama Community College,Rainsville,35986,,,
49,Oakwood University,Huntsville,35896,,,
50,Alabama Southern Community College,Monroeville,36460,,,
