,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Community College of the Air Force,Montgomery,36114-3011,,,
1,Alabama A & M University,Normal,35762,,,
2,University of Alabama at Birmingham,Birmingham,35294-0110,,,
3,ALABAMA AVIATION AND TECHNICAL COLLEGE,OZARK,36360,,,
4,Amridge University,Montgomery,36117-3553,,,
5,University of Alabama in Huntsville,Huntsville,35899,,,
6,Alabama State University,Montgomery,36104-0271,,,
7,The University of Alabama,Tuscaloosa,35487-0166,,,
8,Central Alabama Community College,Alexander City,35010,,,
9,Athens State University,Athens,35611,,,
10,Auburn University at Montgomery,Montgomery,36117-3596,,,
11,Auburn University,Auburn,36849,,,
12,Lawson State Community College-Bessemer Campus,Bessemer,35022,,,
13,Birmingham Southern College,Birmingham,35254,,,
14,Chattahoochee Valley Community College,Phenix City,36869,,,
15,CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,EUFAULA,36027,,,
16,Concordia College Alabama,Selma,36701,,,
17,LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMP,OPP,36467,,,
18,South University-Montgomery,Montgomery,36116,,,
19,Enterprise State Community College,Enterprise,36330-1300,,,
20,James H Faulkner State Community College,Bay Minette,36507-2698,,,
21,Faulkner University,Montgomery,36109-3390,,,
22,FAULKNER UNIVERSITY-BIRMINGHAM,BIRMINGHAM,35216-4506,,,
23,FAULKNER UNIVERSITY-FLORENCE,FLORENCE,35630,,,
24,FAULKNER UNIVERSITY,HUNTSVILLE,35805-1963,,,
25,Gadsden Business College,Rainbow City,35906,,,
26,Gadsden State Community College,Gadsden,35903,,,
27,GADSDEN BUSINESS COLLEGE-ANNISTON,ANNISTON,36207,,,
28,George C Wallace State Community College-Dothan,Dothan,36303-9234,,,
29,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,,
30,George C Wallace State Community College-Selma,Selma,36703-2808,,,
31,GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,ANNISTON,36207,,,
32,Herzing University-Birmingham,Birmingham,35209,,,
33,Huntingdon College,Montgomery,36106-2148,,,
34,Heritage Christian University,Florence,35630-9977,,,
35,J F Drake State Community and Technical College,Huntsville,35811,,,
36,Jacksonville State University,Jacksonville,36265,,,
37,Jefferson Davis Community College,Brewton,36426,,,
38,Jefferson State Community College,Birmingham,35215-3098,,,
39,John C Calhoun State Community College,Tanner,35671,,,
40,H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTER,MONTGOMERY,36116-269,,,
41,Judson College,Marion,36756,,,
42,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,,
43,University of West Alabama,Livingston,35470,,,
44,Lurleen B Wallace Community College,Andalusia,36420-1418,,,
45,Marion Military Institute,Marion,36756-3207,,,
46,Miles College,Fairfield,35064-2621,,,
47,University of Mobile,Mobile,36613-2842,,,
48,University of Montevallo,Montevallo,35115-6000,,,
49,Northwest-Shoals Community College,Muscle Shoals,35661,,,
50,University of North Alabama,Florence,35632-0001,,,
51,Northeast Alabama Community College,Rainsville,35986,,,
52,Oakwood University,Huntsville,35896,,,
53,Alabama Southern Community College,Monroeville,36460,,,
54,Prince Institute-Southeast,Elmhurst,60126,,,
55,Reid State Technical College,Evergreen,36401,,,
56,Bishop State Community College,Mobile,36603-5898,,,
57,Samford University,Birmingham,35229-2240,,,
58,Shelton State Community College,Tuscaloosa,35405-8522,,,
59,Snead State Community College,Boaz,35957-0734,,,
60,University of South Alabama,Mobile,36688-0002,,,
61,UNIVERSITY OF SOUTH ALABAMA-BALDWIN,FAIRHOPE,36532-2520,,,
62,Southern Community College,Tuskegee,36083-0688,,,
63,Spring Hill College,Mobile,36608-1791,,,
64,Southeastern Bible College,Birmingham,35244-2083,,,
65,Stillman College,Tuscaloosa,35401,,,
66,Talladega College,Talladega,35160,,,
67,H Councill Trenholm State Community College,Montgomery,36108-3199,,,
68,Troy State University-Dothan Campus,Dothan,36304,,,
69,TROY STATE UNIVERSITY-PHENIX CITY,PHENIX CITY,36869,,,
70,Troy State University-Montgomery,Montgomery,36103-4419,,,
71,Troy University,Troy,36082-0001,,,
72,Tuskegee University,Tuskegee,36088-1920,,,
73,United States Sports Academy,Daphne,36526-7055,,,
74,BEVILL STATE COMMUNITY COLLEGE-WALKER COLLEGE CAMP,JASPER,35501,,,
75,Bevill State Community College,Jasper,35501,,,
76,University of Alaska Anchorage,Anchorage,99508,,,
77,University of Alaska Fairbanks,Fairbanks,99775-7500,,,
78,University of Alaska Southeast,Juneau,99801-8697,,,
79,Alaska Pacific University,Anchorage,99508,,,
80,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,,
81,Charter College,Vancouver,98683-7575,,,
82,NEW CONCEPTS BEAUTY SCHOOL INC,FAIRBANKS,99709-3549,,,
83,Prince William Sound Community College,Valdez,99686-0097,,,
84,Sheldon Jackson College,Sitka,99835-7699,,,
85,Alaska Career College,Anchorage,99507-1033,,,
86,Collins College,Phoenix,85040,,,
87,Empire Beauty School-Paradise Valley,Phoenix,85032,,,
88,Empire Beauty School-Tucson,Tucson,85716,,,
89,Thunderbird School of Global Management,Glendale,85306-6000,,,
90,American Indian College Inc,Phoenix,85021,,,
91,American Institute of Trucking,Phoenix,85043-4729,,,
92,AMERICAN INSTITUTE,PHOENIX,85004,,,
93,Carrington College-Phoenix North,Phoenix,85051-4063,,,
94,Carrington College-Mesa,Mesa,85210,,,
95,Carrington College-Tucson,Tucson,85745,,,
96,CollegeAmerica-Flagstaff,Flagstaff,86001,,,
97,Arizona Academy of Beauty-East,Tucson,85712,,,
98,Arizona Automotive Institute,Glendale,85301-3579,,,
99,ARIZONA BIBLE COLLEGE,PHOENIX,85015,,,
100,Brookline College-Phoenix,Phoenix,85021,,,
101,Arizona State University-Tempe,Tempe,85287,,,
102,Arizona Western College,Yuma,85365-8834,,,
103,University of Arizona,Tucson,85721-0066,,,
104,Southwest University of Visual Arts-Tucson,Tucson,85716,,,
105,Brillare Hairdressing Academy,Scottsdale,85254,,,
106,Central Arizona College,Coolidge,85128-9030,,,
107,Brown Mackie College-Tucson,Tucson,85712,,,
108,Charles of Italy Beauty College,Lake Havasu City,86403,,,
109,Cochise County Community College District,Douglas,85607-6190,,,
110,Empire Beauty School-Flagstaff,Flagstaff,86004,,,
111,Empire Beauty School-Chandler,Chandler,85224,,,
112,Cortiva Institute-Tucson,Tucson,85710,,,
113,DeVoe College of Beauty,Sierra Vista,85635-1832,,,
114,DeVry University-Arizona,Phoenix,85021-2995,,,
115,Avalon School of Cosmetology-Mesa,Mesa,85210,,,
116,Eastern Arizona College,Thatcher,85552-0769,,,
117,Glendale Community College,Glendale,85302,,,
118,Grand Canyon University,Phoenix,85017,,,
119,Anthem College-Phoenix,Phoenix,85014,,,
120,International Academy of Hair Design,Tempe,85282-6730,,,
121,Lamson College,Tempe,85284,,,
122,Kaplan College-Phoenix,Phoenix,85029,,,
123,Maricopa Beauty College LLC,Avondale,85323,,,
124,GateWay Community College,Phoenix,85034,,,
125,Mesa Community College,Mesa,85202,,,
126,ITT Technical Institute-Tucson,Tucson,85704-5829,,,
127,ITT Technical Institute-Tempe,Tempe,85282,,,
