,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.254901961,0.151603499
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.34738041,0.274122807
2,Amridge University,Montgomery,36117-3553,,0.285714286,0.269230769
3,University of Alabama in Huntsville,Huntsville,35899,,0.348684211,0.275862069
4,Alabama State University,Montgomery,36104-0271,,0.183507549,0.110787172
5,The University of Alabama,Tuscaloosa,35487-0166,,0.500362057,0.404533566
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.565789474,0.475609756
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.260759494,0.1966759
9,Auburn University,Auburn,36849,,0.342578711,0.203416149
10,Birmingham Southern College,Birmingham,35254,,PrivacySuppressed,PrivacySuppressed
11,Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.263,0.215488216
14,Enterprise State Community College,Enterprise,36330-1300,,0.077844311,0.056047198
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.108757062,0.063360882
16,Faulkner University,Montgomery,36109-3390,,0.132835821,0.079422383
17,Gadsden State Community College,Gadsden,35903,,0.018046709,0.026570048
18,George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
19,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.079152731,0.051569507
20,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
21,Herzing University-Birmingham,Birmingham,35209,,0.258823529,0.36
22,Huntingdon College,Montgomery,36106-2148,,0.387096774,0.306569343
23,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
24,J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
25,Jacksonville State University,Jacksonville,36265,,0.105113636,0.078717201
26,Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
27,Jefferson State Community College,Birmingham,35215-3098,,0.120223672,0.070063694
28,John C Calhoun State Community College,Tanner,35671,,0.066616767,0.018759019
29,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
30,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
31,University of West Alabama,Livingston,35470,,0.369426752,0.230088496
32,Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
33,Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
34,Miles College,Fairfield,35064-2621,,0.083850932,0.033333333
35,University of Mobile,Mobile,36613-2842,,0.319488818,0.295774648
36,University of Montevallo,Montevallo,35115-6000,,0.401129944,0.364640884
37,Northwest-Shoals Community College,Muscle Shoals,35661,,0.08186398,0.060465116
38,University of North Alabama,Florence,35632-0001,,0.250769231,0.199556541
39,Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
40,Oakwood University,Huntsville,35896,,0.238461539,0.172839506
41,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
42,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
43,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
44,Bishop State Community College,Mobile,36603-5898,,PrivacySuppressed,PrivacySuppressed
45,Samford University,Birmingham,35229-2240,,0.637873754,0.638418079
46,Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
47,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
48,University of South Alabama,Mobile,36688-0002,,0.29261745,0.242350061
49,Spring Hill College,Mobile,36608-1791,,0.415525114,0.417475728
50,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
51,Stillman College,Tuscaloosa,35401,,0.183544304,0.114583333
52,Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
53,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
54,Troy University,Troy,36082-0001,,0.174458875,0.128205128
55,Tuskegee University,Tuskegee,36088-1920,,0.3183391,0.209923664
56,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
57,Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
58,University of Alaska Anchorage,Anchorage,99508,,0.198004605,0.195478723
59,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.153589316,0.18627451
60,University of Alaska Southeast,Juneau,99801-8697,,0.223958333,0.136363636
61,Alaska Pacific University,Anchorage,99508,,PrivacySuppressed,PrivacySuppressed
62,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
63,Charter College,Vancouver,98683-7575,,0.327868853,0.263157895
64,Prince William Sound Community College,Valdez,99686-0097,,0.198004605,0.195478723
65,Alaska Career College,Anchorage,99507-1033,,0.683417085,0.714285714
66,Everest College-Phoenix,Phoenix,85021-1641,,0.446601942,0.327868853
67,Collins College,Phoenix,85040,,0.450920245,0.415051311
68,Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
69,Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
70,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
71,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
72,American Institute of Trucking,Phoenix,85043-4729,,0.79787234,0.779270633
73,Carrington College-Phoenix North,Phoenix,85051-4063,,0.698965193,0.635245902
74,CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
75,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
76,Arizona Automotive Institute,Glendale,85301-3579,,0.451612903,0.588342441
77,Brookline College-Phoenix,Phoenix,85021,,0.62741652,0.539393939
78,Arizona State University-Tempe,Tempe,85287,,0.471936298,0.415571535
79,Arizona Western College,Yuma,85365-8834,,PrivacySuppressed,PrivacySuppressed
80,University of Arizona,Tucson,85721-0066,,0.351351351,0.308801591
81,Southwest University of Visual Arts-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
82,Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
83,Central Arizona College,Coolidge,85128-9030,,0.052067381,0.081355932
84,Brown Mackie College-Tucson,Tucson,85712,,0.438016529,0.361111111
85,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
86,Cochise County Community College District,Douglas,85607-6190,,0.04375,0.029891304
