,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.278518519,0.170283806
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.377688172,0.32629108
2,Amridge University,Montgomery,36117-3553,,0.242718447,0.333333333
3,University of Alabama in Huntsville,Huntsville,35899,,0.35738255,0.332692308
4,Alabama State University,Montgomery,36104-0271,,0.140250855,0.071656051
5,The University of Alabama,Tuscaloosa,35487-0166,,0.524580336,0.415555556
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.521821632,0.451923077
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.294706724,0.235849057
9,Auburn University,Auburn,36849,,0.122479462,0.073387695
10,Birmingham Southern College,Birmingham,35254,,PrivacySuppressed,PrivacySuppressed
11,Chattahoochee Valley Community College,Phenix City,36869,,0.10619469,0.055248619
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.225836431,0.210992908
14,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.093628088,0.06969697
16,Faulkner University,Montgomery,36109-3390,,0.171096346,0.093862816
17,Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
18,George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
19,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.234421365,0.132692308
20,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
21,Herzing University-Birmingham,Birmingham,35209,,0.206451613,0.307692308
22,Huntingdon College,Montgomery,36106-2148,,0.496296296,0.375
23,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
24,J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
25,Jacksonville State University,Jacksonville,36265,,0.27689243,0.196185286
26,Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
27,Jefferson State Community College,Birmingham,35215-3098,,0.114446529,0.077858881
28,John C Calhoun State Community College,Tanner,35671,,0.091342335,0.040372671
29,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
30,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,0.035834267,0.028634361
31,University of West Alabama,Livingston,35470,,0.295180723,0.163346614
32,Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
33,Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
34,Miles College,Fairfield,35064-2621,,PrivacySuppressed,PrivacySuppressed
35,University of Mobile,Mobile,36613-2842,,0.410958904,0.346938776
36,University of Montevallo,Montevallo,35115-6000,,0.405555556,0.344155844
37,Northwest-Shoals Community College,Muscle Shoals,35661,,PrivacySuppressed,PrivacySuppressed
38,University of North Alabama,Florence,35632-0001,,0.299363057,0.261477046
39,Northeast Alabama Community College,Rainsville,35986,,0.089485459,0.047008547
40,Oakwood University,Huntsville,35896,,0.21399177,0.148514852
41,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
42,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
43,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
44,Bishop State Community College,Mobile,36603-5898,,PrivacySuppressed,PrivacySuppressed
45,Samford University,Birmingham,35229-2240,,0.588235294,0.591954023
46,Selma University,Selma,36701,,PrivacySuppressed,PrivacySuppressed
47,Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
48,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
49,University of South Alabama,Mobile,36688-0002,,0.320742213,0.281053952
50,Spring Hill College,Mobile,36608-1791,,0.348837209,0.404761905
51,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
52,Stillman College,Tuscaloosa,35401,,0.445544555,0.188235294
53,Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
54,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
55,Troy University,Troy,36082-0001,,0.152238806,0.122291022
56,Tuskegee University,Tuskegee,36088-1920,,0.147869674,0.092592593
57,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
58,Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
59,University of Alaska Anchorage,Anchorage,99508,,0.211111111,0.183673469
60,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.181818182,0.178217822
61,University of Alaska Southeast,Juneau,99801-8697,,0.180995475,0.149122807
62,Alaska Pacific University,Anchorage,99508,,0.350649351,0.34
63,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,0.486486487,0.52173913
64,Charter College,Vancouver,98683-7575,,0.481203008,0.205479452
65,Prince William Sound Community College,Valdez,99686-0097,,0.211111111,0.183673469
66,Alaska Career College,Anchorage,99507-1033,,PrivacySuppressed,PrivacySuppressed
67,Everest College-Phoenix,Phoenix,85021-1641,,0.34375,0.216
68,Collins College,Phoenix,85040,,0.32631579,0.385902031
69,Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
70,Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
71,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
72,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
73,American Institute of Trucking,Phoenix,85043-4729,,0.759493671,0.716297787
74,Carrington College-Phoenix North,Phoenix,85051-4063,,0.683533803,0.617336152
75,CollegeAmerica-Flagstaff,Flagstaff,86001,,0.497560976,0.436363636
76,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
77,Arizona Automotive Institute,Glendale,85301-3579,,0.530612245,0.512871287
78,Brookline College-Phoenix,Phoenix,85021,,0.551752922,0.512345679
79,Arizona State University-Tempe,Tempe,85287,,0.482100708,0.4368248
80,Arizona Western College,Yuma,85365-8834,,PrivacySuppressed,PrivacySuppressed
81,University of Arizona,Tucson,85721-0066,,0.391955836,0.36128414
82,Southwest University of Visual Arts-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
83,Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
84,Central Arizona College,Coolidge,85128-9030,,0.038610039,0.069672131
85,Brown Mackie College-Tucson,Tucson,85712,,0.503875969,0.345679012
86,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
87,Cochise County Community College District,Douglas,85607-6190,,0.051546392,0.043731778
88,Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
89,Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
90,Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
91,DeVry University-Arizona,Phoenix,85021-2995,,0.079023953,0.047274665
92,Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
93,Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
