,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.305772231,0.175324675
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.452027027,0.377155172
2,Amridge University,Montgomery,36117-3553,,0.193877551,0.231884058
3,University of Alabama in Huntsville,Huntsville,35899,,0.409836066,0.375766871
4,Alabama State University,Montgomery,36104-0271,,0.231822972,0.134193548
5,The University of Alabama,Tuscaloosa,35487-0166,,0.56080771,0.463215259
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.533426184,0.48534202
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.209081309,0.201680672
9,Auburn University,Auburn,36849,,0.588662791,0.475468976
10,Birmingham Southern College,Birmingham,35254,,0.629370629,0.467105263
11,Chattahoochee Valley Community College,Phenix City,36869,,0.141393443,0.094594595
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.110815727,0.107220531
14,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.133491311,0.08575804
16,Faulkner University,Montgomery,36109-3390,,0.279255319,0.218918919
17,Gadsden State Community College,Gadsden,35903,,0.150644783,0.12601626
18,New Beginning College of Cosmetology,Albertville,35951,,,
19,George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.204897959,0.141414141
20,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.263782275,0.181598063
21,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
22,Herzing University-Birmingham,Birmingham,35209,,0.257958288,0.235995232
23,Huntingdon College,Montgomery,36106-2148,,0.52173913,0.356321839
24,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
25,J F Drake State Community and Technical College,Huntsville,35811,,0.125799574,0.070707071
26,Jacksonville State University,Jacksonville,36265,,0.365539453,0.205357143
27,Jefferson Davis Community College,Brewton,36426,,0.130952381,0.104265403
28,Jefferson State Community College,Birmingham,35215-3098,,0.161533196,0.117875648
29,John C Calhoun State Community College,Tanner,35671,,0.1324652,0.104089219
30,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
31,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,0.109729334,0.117714286
32,University of West Alabama,Livingston,35470,,0.276744186,0.243055556
33,Lurleen B Wallace Community College,Andalusia,36420-1418,,0.102083333,0.09623431
34,Marion Military Institute,Marion,36756-3207,,0.208333333,0.317460318
35,Miles College,Fairfield,35064-2621,,0.200589971,0.084057971
36,University of Mobile,Mobile,36613-2842,,0.40625,0.405228758
37,University of Montevallo,Montevallo,35115-6000,,0.397058824,0.321212121
38,Northwest-Shoals Community College,Muscle Shoals,35661,,0.101822079,0.057187017
39,University of North Alabama,Florence,35632-0001,,0.380447585,0.259911894
40,Northeast Alabama Community College,Rainsville,35986,,0.23536036,0.236614853
41,Oakwood University,Huntsville,35896,,0.319391635,0.226130653
42,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
43,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
44,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
45,Bishop State Community College,Mobile,36603-5898,,0.082327113,0.0859375
46,Samford University,Birmingham,35229-2240,,0.636923077,0.558441558
47,Selma University,Selma,36701,,PrivacySuppressed,PrivacySuppressed
48,Shelton State Community College,Tuscaloosa,35405-8522,,0.076995305,0.062337662
49,Snead State Community College,Boaz,35957-0734,,0.084210526,0.05859375
50,University of South Alabama,Mobile,36688-0002,,0.335201794,0.271056662
51,Spring Hill College,Mobile,36608-1791,,0.449074074,0.314516129
52,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
53,Stillman College,Tuscaloosa,35401,,0.19921875,0.177339902
54,Talladega College,Talladega,35160,,0.253731343,0.170212766
55,H Councill Trenholm State Community College,Montgomery,36108-3199,,0.097308489,0.055882353
56,Troy University,Troy,36082-0001,,0.20717926,0.177426846
57,Tuskegee University,Tuskegee,36088-1920,,0.449074074,0.21875
58,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
59,Bevill State Community College,Jasper,35501,,0.175103734,0.158371041
60,University of Alaska Anchorage,Anchorage,99508,,0.202267303,0.184457728
61,Alaska Bible College,Palmer,99645,,PrivacySuppressed,PrivacySuppressed
62,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.199731904,0.208258528
63,University of Alaska Southeast,Juneau,99801-8697,,0.253246753,0.248062016
64,Alaska Pacific University,Anchorage,99508,,0.317647059,0.413793103
65,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,0.485714286,0.530120482
66,Charter College,Vancouver,98683-7575,,0.525395504,0.490654206
67,Prince William Sound Community College,Valdez,99686-0097,,0.202267303,0.184457728
68,Alaska Career College,Anchorage,99507-1033,,0.711734694,0.569230769
69,Everest College-Phoenix,Phoenix,85021-1641,,0.213048128,0.09099663
70,Collins College,Phoenix,85040,,0.248628885,0.262149213
71,Empire Beauty School-Paradise Valley,Phoenix,85032,,0.546523017,0.597222222
72,Empire Beauty School-Tucson,Tucson,85716,,0.472406181,0.558823529
73,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
74,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
75,American Institute of Trucking,Phoenix,85043-4729,,0.610294118,0.705934455
76,Carrington College-Phoenix North,Phoenix,85051-4063,,0.703769665,0.625
77,Carrington College-Mesa,Mesa,85210,,0.703769665,0.625
78,Carrington College-Tucson,Tucson,85745,,0.703769665,0.625
79,CollegeAmerica-Flagstaff,Flagstaff,86001,,0.505681818,0.330097087
80,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
81,Arizona Automotive Institute,Glendale,85301-3579,,0.56097561,0.649281935
82,Brookline College-Phoenix,Phoenix,85021,,0.502132196,0.420343137
83,Arizona State University-Tempe,Tempe,85287,,0.562508634,0.500314169
84,Arizona Western College,Yuma,85365-8834,,0.081967213,0.066666667
85,University of Arizona,Tucson,85721-0066,,0.503184713,0.46284421
86,Southwest University of Visual Arts-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
87,Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
88,Central Arizona College,Coolidge,85128-9030,,0.124657534,0.103603604
89,Brown Mackie College-Tucson,Tucson,85712,,0.408648111,0.297670639
90,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
91,Cochise County Community College District,Douglas,85607-6190,,0.098124098,0.049281314
92,Empire Beauty School-Flagstaff,Flagstaff,86004,,0.499040307,0.448275862
93,Empire Beauty School-Chandler,Chandler,85224,,0.499040307,0.448275862
94,Cortiva Institute-Tucson,Tucson,85710,,0.766917293,0.666666667
95,Avalon School of Cosmetology-Mesa,Mesa,85210,,0.514792899,0.511627907
96,Eastern Arizona College,Thatcher,85552-0769,,0.122719735,0.092378753
97,Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.387596899,0.310746427
98,Frank Lloyd Wright School of Architecture,Scottsdale,85259,,PrivacySuppressed,PrivacySuppressed
99,Glendale Community College,Glendale,85302,,PrivacySuppressed,PrivacySuppressed
100,Grand Canyon University,Phoenix,85017,,0.178872684,0.150837989
101,Anthem College-Phoenix,Phoenix,85014,,0.625437063,0.506849315
102,International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
103,Kaplan College-Phoenix,Phoenix,85029,,0.612813371,0.458333333
104,GateWay Community College,Phoenix,85034,,0.103503185,0.103009259
105,Mesa Community College,Mesa,85202,,PrivacySuppressed,PrivacySuppressed
