,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.316846986,0.194078947
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.463933182,0.404822335
2,Amridge University,Montgomery,36117-3553,,0.283950617,0.289855073
3,University of Alabama in Huntsville,Huntsville,35899,,0.400306749,0.355329949
4,Alabama State University,Montgomery,36104-0271,,0.233404711,0.121418827
5,The University of Alabama,Tuscaloosa,35487-0166,,0.533491687,0.465386853
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.527559055,0.477272727
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.284869976,0.215938303
9,Auburn University,Auburn,36849,,0.343930636,0.279400749
10,Birmingham Southern College,Birmingham,35254,,0.496124031,0.3
11,Chattahoochee Valley Community College,Phenix City,36869,,0.109195402,0.06
12,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
13,South University-Montgomery,Montgomery,36116,,0.151086727,0.141505865
14,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
15,James H Faulkner State Community College,Bay Minette,36507-2698,,0.12,0.075471698
16,Faulkner University,Montgomery,36109-3390,,0.285885168,0.188732394
17,Gadsden State Community College,Gadsden,35903,,0.148726376,0.155963303
18,New Beginning College of Cosmetology,Albertville,35951,,,
19,George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.222222222,0.15819209
20,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.286423841,0.169082126
21,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
22,Herzing University-Birmingham,Birmingham,35209,,0.292207792,0.310096154
23,Huntingdon College,Montgomery,36106-2148,,0.564516129,0.398843931
24,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
25,J F Drake State Community and Technical College,Huntsville,35811,,0.131487889,0.080357143
26,Jacksonville State University,Jacksonville,36265,,0.343362832,0.204938272
27,Jefferson Davis Community College,Brewton,36426,,0.167330677,0.129251701
28,Jefferson State Community College,Birmingham,35215-3098,,0.159090909,0.149046794
29,John C Calhoun State Community College,Tanner,35671,,0.140361822,0.092446449
30,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
31,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,0.106778087,0.135231317
32,University of West Alabama,Livingston,35470,,0.24009324,0.171428571
33,Lurleen B Wallace Community College,Andalusia,36420-1418,,0.049217002,0.055248619
34,Marion Military Institute,Marion,36756-3207,,0.536585366,0.360759494
35,Miles College,Fairfield,35064-2621,,0.223350254,0.112781955
36,University of Mobile,Mobile,36613-2842,,0.429054054,0.392307692
37,University of Montevallo,Montevallo,35115-6000,,0.425120773,0.35078534
38,Northwest-Shoals Community College,Muscle Shoals,35661,,0.107284768,0.047109208
39,University of North Alabama,Florence,35632-0001,,0.381648936,0.269814503
40,Northeast Alabama Community College,Rainsville,35986,,0.216292135,0.148741419
41,Oakwood University,Huntsville,35896,,0.217391304,0.172093023
42,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
43,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
44,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
45,Bishop State Community College,Mobile,36603-5898,,0.089663761,0.065155807
46,Samford University,Birmingham,35229-2240,,0.6485623,0.534090909
47,Selma University,Selma,36701,,PrivacySuppressed,PrivacySuppressed
48,Shelton State Community College,Tuscaloosa,35405-8522,,0.049122807,0.028318584
49,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
50,University of South Alabama,Mobile,36688-0002,,0.342400946,0.249551167
51,Spring Hill College,Mobile,36608-1791,,0.450236967,0.391666667
52,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
53,Stillman College,Tuscaloosa,35401,,0.29118774,0.154545455
54,Talladega College,Talladega,35160,,0.290909091,0.145833333
55,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
56,Troy University,Troy,36082-0001,,0.202699127,0.183558559
57,Tuskegee University,Tuskegee,36088-1920,,0.356807512,0.256329114
58,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
59,Bevill State Community College,Jasper,35501,,0.171578947,0.17515275
60,University of Alaska Anchorage,Anchorage,99508,,0.268707483,0.192926045
